"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"14773","64","Tracer","","Oxford, Ashmolean Museum,Coll. A.D. Passmore","Wilts,Liddington,Near camp","Liddington, Swindon, Swindon SN4, UK","51.531","-1.7039999999999509","","None","None","None","60","4","","3.5","Bronze colour","","","Weight 1/8 oz","","","","","? bronze-age","Hugh Fiske","https://farm6.staticflickr.com/5584/15013189430_8cd0e8a812_b.jpg","https://www.flickr.com/photos/MicroPasts/15013189430","superuser",-1.704,51.531,"A8tools"
"14774","64","AWL","","Salisbury Museum","Wilts,Stonehenge,From earthy layer above chalk silt in ditch","Stonehenge, Amesbury, Wiltshire SP4 7DE, UK","51.1788823","-1.8262154999999893","","None","None","None","40","","","","Shiny, thick,Dark green","Smooth","","","","","Bronze awl","See forthcoming article on awls by N. Thomas","","Hugh Fiske","https://farm6.staticflickr.com/5596/15199485202_40dd804d32_b.jpg","https://www.flickr.com/photos/MicroPasts/15199485202","superuser",-1.8262,51.1789,"A8tools"
"14775","656","AWL.","","Oxford. Ashmolean Museum., , Coll. A.D. Passmore","Wilts, Upper Upham, Brown Down Slope close to and E. of U.U. House","Upper Upham, Aldbourne, Marlborough, Wiltshire SN8, UK","51.49401","-1.674784999999929","","None","None","None","80","4","","3.54","Dull brown, chipped flat end.","","4","","","","","","","Christopher Wai","https://farm4.staticflickr.com/3922/15013284757_96533ac3aa_b.jpg","https://www.flickr.com/photos/MicroPasts/15013284757","only good record",-1.6748,51.494,"A8tools"
"14776","656","Awl.","","Ashmolean Museum, Oxford., , 1836-1868. {...}.9., , Given by Rev. A.B. Hutzkins.","England., Wiltshire., Winterslow, Bell barrow.","Winterslow, Salisbury, Wiltshire SP5, UK","51.091804","-1.6707730000000538","","None","None","None","31","diameter 3.5","","69","","","","","","","","Arch. Journal. i. 157.","","Christopher Wai","https://farm6.staticflickr.com/5581/15013068819_c0e615d357_b.jpg","https://www.flickr.com/photos/MicroPasts/15013068819","only good record",-1.6708,51.0918,"A8tools"
"14777","656","Socketed Chisel or Tracer. (Broad)","A2","Salisbury, S Wilts , , and [...] Museum.","England., Wilts, Alderbury, 1907","Alderbury, Salisbury, Wiltshire SP5, UK","51.041767","-1.7346360000000232","","None","None","1907","101","socket 25","34","-","","","socket 20.","","","","","","","Christopher Wai","https://farm6.staticflickr.com/5560/15199484632_c443b465dd_b.jpg","https://www.flickr.com/photos/MicroPasts/15199484632","only good record",-1.7346,51.0418,"A8tools"
"14778","656","Socketted Chisel or Tracer (Broad).","B1","Oxford. Ashmolean Museum., , Coll. A.D. Passmore.","Wilts, Highworth","Highworth, Swindon, Swindon SN6, UK","51.632861","-1.710397999999941","","None","None","None","94","""Sock."" 26","14","92.14","Olive green, mostly rubbed off.","","""Sock."" 20","","","","","","Side of socket crushed in slightly.","Christopher Wai","https://farm4.staticflickr.com/3848/15196825291_13255b8dc9_b.jpg","https://www.flickr.com/photos/MicroPasts/15196825291","only good record",-1.7104,51.6329,"A8tools"
"14779","433","Spoon Bit/Socketed Gouge","C","Pitt Rivers Museum, Farnham","England,Wiltshire,Donhead St. Mary,1896","Donhead St Mary, Shaftesbury, Wiltshire SP7, UK","51.019022","-2.135210000000029","","None","None","1896","162","18","","113","","Rough green","","Width: 18mm; 11mm; 5mm,Weight: 113.39 gms","","Part of a large hoard of bronze moulds and various other implements found close to the surface near Donhead: eg: 1 bronze mould, 3 socketed axes, 8 winged axes, 1 socketed hammer, 1 large bronze ring, 2 lumps bronze, various bundles of wire, 1 whet stone.","","W.A.M. Vol. XLV, No. CLIV, 1931, p. 375, Pls I & II","""Turn sock. gouge drill""","Joellen mcGann","https://farm6.staticflickr.com/5572/15013068439_df7c96db3c_b.jpg","https://www.flickr.com/photos/MicroPasts/15013068439","superuser",-2.1352,51.019,"A8tools"
"14780","433","Socketed Knife/Dagger","","Mewes, Mr. H. R. - private,The Bank House, Fore Street, castle Cary, Somerset","England,Wiltshire,Semley,near Castle Rings,unknown, but condition suggested to SN and Catherine Johns that it was an old find - perhaps well-handled; later communication indicated a findspot just to of Castle Rings in Semley parish - see map in DF; no supplementary details regarding find circumstances.","Semley, Shaftesbury, Wiltshire SP7, UK","51.041","-2.157000000000039","c. ST 888 253","None","None","None","254","","","","","Mostly a dull green patina with crude score-marks aligned with blade - similar colour; chipping of patina at edges.","","","","9. Unknown","Dimensions: L 254 (from drawing),Collected by Menes before description,Condition: little damage around mouth","","Archive: PIF,PRBAF: SF (S); SI,Ext.: CI,Rec. SN April 80,Source: Sb. A","Joellen mcGann","https://farm6.staticflickr.com/5567/15199484072_95b6962656_b.jpg","https://www.flickr.com/photos/MicroPasts/15199484072","superuser",-2.157,51.041,"A8tools"
"14781","433","Socketed Sickle (Fragment)","","Salisbury S. Wilts and Blackmore Museum","England,Wiltshire,Alderbury,1907","Alderbury, Salisbury, Wiltshire SP5, UK","51.041767","-1.7346360000000232","","None","None","1907","66","27","","","","","25","Width: socket 27mm,Thickness: socket 25mm","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5584/15013188250_5917c4ef4b_b.jpg","https://www.flickr.com/photos/MicroPasts/15013188250","superuser",-1.7346,51.0418,"A8tools"
"14782","433","Gouge Socketed","","Worcester Museum","England,Worcestershire,near Bewdley","Bewdley, Worcestershire, UK","52.375539","-2.3169729999999618","","None","None","None","93","25","21","92","Greenish grey","","22","Width: edge 21mm; socket 25mm,Thickness: socket 22mm,Weight: 92.13 gms","Bronze","","","","","Joellen mcGann","https://farm4.staticflickr.com/3873/15176840306_9b55cd2076_b.jpg","https://www.flickr.com/photos/MicroPasts/15176840306","superuser",-2.317,52.3755,"A8tools"
