"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"51350","580","Axe-like Chisel - Socketed","","British Museum,94.8.3. 37.,Purchased at the Sale of Humphrey Wickhams Collection at Sotheby's through Mercts. Rollin & Fenardent.,Lot 6. 189A.","England,Kent,Allhallows, Hundred of Hoo,found in 1873 on Home Wood Farm","Allhallows, Rochester, Medway ME3, Royaume-Uni","51.46831","0.6394549999999981","c. TQ 83 77","None","None","1873","58","blade 26; socket 21","","31","metallic green","non-corroded","18","","","29-52 Allhallows I. 7 Socketed Celts, 6 Fragments Celts, 2 Gouges, 1 Lancehead, 8 Fragments Swords, 1 Knife","Diminutive oval section.","Evans. B. Imps. 214, 230, 467.,Arch. Cant. XI, 124 & Pl. c. IX, 300,V.C.H. Kent, I, 322; 334,R.F. Jessups 'Kent', 107, 250.","Almost OK (section),AFI.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24225389130","https://farm2.staticflickr.com/1704/24225389130_a8d33d005e_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51351","580","Axe-like Chisel - Socketed,?Duplicate","","British Museum,94 8 3 37 No. 6,purchased 1894.","England,Kent,Allhallows,Hundred of Hoo,1873","Allhallows, Rochester, Medway ME3, Royaume-Uni","51.46831","0.6394549999999981","","None","None","1873","60","edge 26; socket 21","","31.2","riche green","","socket 18","","","Founder's Hoard,29-52 (BM reg. #s) Allhallows I","","Arch. Cant. XI, 124; IX, 300.,V.C.H. Kent I, 322, 334.,Evans. B. Imps., 214, 230, 467.,R.F. Jessup 'Kent', 107, 250","Inacc.,See associated card. JW","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24153182349","https://farm2.staticflickr.com/1677/24153182349_8e5db484c2_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51352","433","Cake of Metal","I","British Museum,Purchased 1894, 8-3.28,[One of ten lumps under this number]","England,Kent,Allhallows, Hundred of Hoo,1875,Little Coombe Farm","Allhallows, Rochester, Medway ME3, UK","51.46831","0.6394549999999981","c. TQ 831 77","None","None","1875","121","84","","734.75","","much encrusted","37","","","Founder's hoard","","Arch. Cant. XI, 123, XI, 300,V.C.H., Kent, I, 322, 334,R.F. Jessup, 'Kent', 107, 250","AFI","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24412658342","https://farm2.staticflickr.com/1712/24412658342_696e30bf83_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51353","580","10 Ingot fragments (6 of [...] type, 4 indeterminate)","","British Museum.,94. 8-3. 28","England,Kent,Allhallows (Hoo),Little Coombe Farm","Hoo, Medway, Royaume-Uni","51.46831","0.6394549999999981","c. TQ 81 77","None","None","None","","","","","","","","","","Hoard, Allhallows II.","","","AFI","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24438586821","https://farm2.staticflickr.com/1614/24438586821_94a32f2ace_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51354","433","""Hog back"" Knife","","British Museum,94.8.3.43,Purchased at the Sale of Humphrey Wickhams Collection at Sothebys through Messrs. Rollin + Fenardent,Lot 6, 1894","England,Kent,Allhallows, Hundred of Hoo,Found in 1873 on Home Wood Farm","Allhallows, Rochester, Medway ME3, UK","51.46831","0.6394549999999981","TQ 83 77","None","None","1873","79","42","","74","Green patina","Very corroded","5","","","29-52, Allhallows I; 7 Socketed Celts; 6 Fragments; 2 Gouges; 1 Lancehead; 9 Fragments Swords; 1 Knife","Oblong, one edge pierced","V.C.H. Kent I, 322, 334,Arch. Cant. XI, 124; + Pl. C, CIX.200,R.F. Jessup, ""Kent"", 107, 250","AFI,Almost OK - section","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24412658042","https://farm2.staticflickr.com/1643/24412658042_cca6cb142b_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51355","433","Socketed Knife","B","British Museum, 94.8-3.21,purchased 1894","England,Kent,Hundred of Hoo,Allhallows,Little Coombe Farm,1875","Allhallows, Rochester, Medway ME3, UK","51.46831","0.6394549999999981","c. TQ 81 77","None","None","1875","84","blade 23; middle 25","","49.4","","encrusted","blade 7, socket 16","","","Founder's Hoard, Allhallows II","Oval socket","Arch. Cant. 81, 123","AFI,Inacc. drawing","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24494751636","https://farm2.staticflickr.com/1459/24494751636_09c963022f_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51356","580","? Sickle Fragment","","British Museum,94 8 3 24,purchased 1894.","England,Kent,Hundred of Hoo,Allhallows, Little Coombe Farm,1875","Allhallows, Rochester, Medway ME3, Royaume-Uni","51.46831","0.6394549999999981","c. TQ 81 77","None","None","1875","68","28","","35.75","traces of green patina","encrusted","4","","","Founder's Hoard, Allhallows II.","","Arch. Cant. XI, 123; IX, 300.,V.C.H. Kent, I, 322, 334.,R.F. Jessup 'Kent', 107, 250","Inacc.,AFI","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24225388640","https://farm2.staticflickr.com/1559/24225388640_82213a2ac3_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51357","580","Socketed Celt","UII2","British Museum,94 8 3 1,purchased 1894","England,Kent,Allhallows, Hundred of Hoo,Little Coombe Farm,1875","Allhallows, Rochester, Medway ME3, Royaume-Uni","51.46831","0.6394549999999981","c. TQ 81 77","None","None","1875","118","edge 40; socket 39","","242.4","","much encrused.","socket 38","","","Founder's Hoard II,27 objects: 16 Sock. Axes & frags., 2 frag. winged Axes, 1 winged, 3 sockets, 1 Spearhead & 1 frag. sphd., Sock. Knife frag. & Sword hilt, 1 flanged butt, 1 palstave butt?, 1 hammer socketed frag., 2 socket frags.","","Arch. Cant. XI, 123; IX, 300.,V.C.H. Kent, I, 322, 334.,R.F. Jessup 'Kent', 107, 250,Evans, B. Imps., 214, 230, 467.","Inacc.,AFI","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24412657822","https://farm2.staticflickr.com/1449/24412657822_76936b386d_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51358","580","Socketed Axe","","British Museum,94 8 3 1,purchased 1894","England,Kent,Hundred of Hoo, Little Coombe Farm,Allhallows,1875","Allhallows, Rochester, Medway ME3, Royaume-Uni","51.46831","0.6394549999999981","","None","None","1875","118","edge 40; socket 39","","242.4","","much encrusted","socket 38","","","Founder's Hoard II. 27 Objects","","","See corrected card.,JW","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24153181729","https://farm2.staticflickr.com/1660/24153181729_9b1ee16355_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
"51359","580","Socketed Celt","BI2","British Museum,94 8 3 2,purchased 1894","England,Kent,Allhallows, Hundred of Hoo,1875,Little Coombe Farm","Allhallows, Rochester, Medway ME3, Royaume-Uni","51.46831","0.6394549999999981","c. TQ 81 77","None","None","1875","108","edge 55; socket 36","","180.99","","much corroded","socket 35","","","Founder's Hoard, Allhallows II.","","Arch. Cant. XI, 123; IX, 300.,V.C.H. Kent, I, 322, 334.,R.F. Jessup 'Kent', 107, 250,Evans, B. Imps., 214, 230, 467.","Inacc.,AFI","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23894128183","https://farm2.staticflickr.com/1456/23894128183_9d2ac7284c_m.jpg","superuser",0.6395,51.4683,"BitsandBobsPt1"
