"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"29608","580","Macehead","","B.M. 63 1-20.3","Wiltshire, Great Bedwyn","Great Bedwyn, Marlborough, Wiltshire SN8, Royaume-Uni","51.37982","-1.6028430000000071","SU 27 64","None","None","None","","","","","","","","","","","","","","Denis Antoine","https://farm9.staticflickr.com/8683/16254038258_a45762e77b_b.jpg","https://www.flickr.com/photos/MicroPasts/16254038258","superuser",-1.6028,51.3798,"singleA18"
"29609","580","Socketed Sickle","","London, British Museum, 62.12-9.2","No provenance","","51.37982","-1.6028430000000071","","None","None","None","127","28","","","","","","","","","Ribbed blade. V-ribson socket.","Fox, P.P.S. (1939), 246 no. 45","C1","Denis Antoine","https://farm8.staticflickr.com/7350/16255792247_fea9c81b3e_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792247","superuser",-1.6028,51.3798,"singleA18"
"29610","580","Socketed Hammer","","B.M. 54 12-27.36","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","C1","Denis Antoine","https://farm9.staticflickr.com/8651/16441706965_247b0479fb_b.jpg","https://www.flickr.com/photos/MicroPasts/16441706965","superuser",-1.6028,51.3798,"singleA18"
"29611","580","2 Awls very thin","","BM unreg.","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7439/16254298080_0b83c43c9c_b.jpg","https://www.flickr.com/photos/MicroPasts/16254298080","superuser",-1.6028,51.3798,"singleA18"
"29612","580","Awl","","BM unreg.","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7345/15821643393_c992ed6fa4_b.jpg","https://www.flickr.com/photos/MicroPasts/15821643393","superuser",-1.6028,51.3798,"singleA18"
"29613","580","Macehead","","B.M. 88 7-19.33","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm9.staticflickr.com/8660/16255792317_b72bf18277_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792317","superuser",-1.6028,51.3798,"singleA18"
"29614","580","Macehead","","B.M. Tr. 143","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm9.staticflickr.com/8592/16254038328_d4c9d8c40f_b.jpg","https://www.flickr.com/photos/MicroPasts/16254038328","superuser",-1.6028,51.3798,"singleA18"
"29615","580","Macehead","","B.M. 88. 7-19.34","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7281/16255792347_515fd4f430_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792347","superuser",-1.6028,51.3798,"singleA18"
"29616","580","Macehead","","B.M. 78. 11-1.229","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm9.staticflickr.com/8665/16255453269_27473cfb5d_b.jpg","https://www.flickr.com/photos/MicroPasts/16255453269","superuser",-1.6028,51.3798,"singleA18"
"29617","580","Socketed Gouge","","B.M. 78. 11-1.225","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7318/16254298240_8fe0f742d7_b.jpg","https://www.flickr.com/photos/MicroPasts/16254298240","superuser",-1.6028,51.3798,"singleA18"
