"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"41334","433","Scabord end & Fragment of sword","","Herts Cty Museum, St. Albans,Ball Collection","Austria","Austria","47.516231","14.550072","","None","None","None","Ferrule: 63; blade 56","Ferrule 12, 37.5; Blade 23.5","","Ferrule 21.26 ; blade 21.26","Ferrule: some dark green; Blade: none","Ferrule: Rough; Blade: rough, green encrusted.","Ferrule 12; blade 8","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19008657050","https://farm4.staticflickr.com/3799/19008657050_f059747f2d_m.jpg","superuser",14.5501,47.5162,"ForeignSwordsMisc"
"41335","433","Sword","","London School of Economics,Houghton Street, WI 2,The property of Professor C. G. Seligman","China","China","35.86166","104.19539699999996","","None","None","None","483","blade 48, 43","","595.9","Dark jade green, mottled black, golden bronze shows, patina seems to have been cleaned all over.","Very slight patches of what appears to be thin copper, on the blade. Smooth","20, 7","","","","The hilt is round & hollow like a tube","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19190463122","https://farm1.staticflickr.com/422/19190463122_f2fbe1e73a_m.jpg","superuser",104.1954,35.8617,"ForeignSwordsMisc"
"41336","433","Sword","","Private Collection,11.4.24 (at S of A),Capt. W. H. Murray","China","China","35.86166","104.19539699999996","","None","None","None","533","blade 44 hilt 48.5, 13, 25.5, 25, 11, 36","","850.48","A rich marble like patina of jade green, medium shade & slightly mottled.","Smooth,  hilt rather pitted, very slight encrustment on one side of blade near hilt.","blade 10, 3; hilt 35, 36","","","","Cast marks show on sides of hilt. The hilt top is hollowed & has a central hole, but the top is nearly filled with encrustment.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19008589960","https://farm1.staticflickr.com/357/19008589960_cd991ec2e4_m.jpg","superuser",104.1954,35.8617,"ForeignSwordsMisc"
"41337","433","Leaf Shaped Sword","","Private Collection,Professor Patrick Geddes","Cyprus,Exact site unknkown","Cyprus","35.126413","33.429858999999965","","None","None","None","278","hilt 42; blade 36","","265.78","","Rough, as though water worn. Yellow metal stained black.","blade 5","","","","Broken across blade - tang broken through rivet holes.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19010117749","https://farm1.staticflickr.com/377/19010117749_17d5ee6b73_m.jpg","superuser",33.4299,35.1264,"ForeignSwordsMisc"
"41338","433","Sword","","Farnham Museum, Dorset","Cyprus","Cyprus","35.126413","33.429858999999965","","None","None","None","514","blade 36; hilt plate 43","","296.85","","Smooth light bronze","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19169414416","https://farm1.staticflickr.com/457/19169414416_9e78e81e4c_m.jpg","superuser",33.4299,35.1264,"ForeignSwordsMisc"
"41339","433","Button","","Horniman Museum,Forest Hill SE,Bought from Hoffguard","Denmark","Denmark","56.26392","9.50178500000004","","None","None","None","Diameter 17","","","3.4","Dark green patina (dull) at top","Partly encrusted","10","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19169391466","https://farm1.staticflickr.com/427/19169391466_48fe3b951d_m.jpg","superuser",9.5018,56.2639,"ForeignSwordsMisc"
"41340","433","Button","","Horniman Museum,Forest HIll SE,Bought from Hoffguard","Denmark","Denmark","56.26392","9.50178500000004","","None","None","None","Diameter 24","","","3.2","Some light green patina","Rather rough, encrusted inside","10","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18572988674","https://farm1.staticflickr.com/332/18572988674_945788509d_m.jpg","superuser",9.5018,56.2639,"ForeignSwordsMisc"
"41341","433","Double Spiral","","Horniman Museum,Forest Hill, SE,This was bought from Backhouse Collection","Denmark","Denmark","56.26392","9.50178500000004","","None","None","None","105","53","","42.52","No patina bronze showing in places","Blackish & smooth slightly pocked","13","","Bronze","","A very regular design","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18574881293","https://farm1.staticflickr.com/413/18574881293_fed0ffbab9_m.jpg","superuser",9.5018,56.2639,"ForeignSwordsMisc"
"41342","433","Portion of Swords","","Brighton Museum,Presented by H. Willett Esq., FSA","Denmark","Denmark","56.26392","9.50178500000004","","None","None","None","A: 85; B: 105; C: 127","A: 29; B: 33; C: 30.5","","A: 60.24; B: 97.45; C: 56.7","A little polished patina, light + medium coloured green colour.","Smooth","A: 7.5; B: 9.5; C: 5.5","","","","These pieces do not appear to belong to the same sword.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19198997961","https://farm1.staticflickr.com/307/19198997961_2d753d09c4_m.jpg","superuser",9.5018,56.2639,"ForeignSwordsMisc"
"41343","433","Sword Blade (portions)","","Brighton Museum,Presented by H. Willett, Esq., FSA","Denmark","Denmark","56.26392","9.50178500000004","","None","None","None","A: 99; B: 90; C: 88","A: 21 to 41; B: 22; C: 29","","A: 63.79; B: 58.47; C: 77.95","Scarcely any patina","All very rough & much encrusted with various shades of green.","A: 6.5; B: 6.75; C: 8","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19199089961","https://farm1.staticflickr.com/482/19199089961_85ce97f77b_m.jpg","superuser",9.5018,56.2639,"ForeignSwordsMisc"
