"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"40087","433","Socketed Chisel","","Herts Cty. Museum, St. Albans,Ball Collection","Austria","Austria","47.516231","14.550072","","None","None","None","102","socket 19","8","63.78","patches of bronzey patina","smooth, slight encrustation","socket 17","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154782720","https://farm8.staticflickr.com/7755/18154782720_ca3213d477_m.jpg","superuser",14.5501,47.5162,"ForeignTools"
"40088","433","Sickle","","Herts. Cty. Mus., St. Albans,Ball Collection","Austria","Austria","47.516231","14.550072","","None","None","None","170","135.5; blade 42.5, 23.5, 44","","205.52","Dull green matt","Smooth","blade 8, 6, 6.5","","","","At X the blade curves so that this point is 10mm above plane.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342527265","https://farm8.staticflickr.com/7745/18342527265_6e3002684f_m.jpg","superuser",14.5501,47.5162,"ForeignTools"
"40089","433","Sickle","","Herts. Cty. Museum, St. Albans,Ball Collection","Austria","Austria","47.516231","14.550072","","None","None","None","173.5","113; blade 32, 37, 21","","134.65","dull green matt","encrusted","3.5, 3","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343977661","https://farm8.staticflickr.com/7751/18343977661_43686097d7_m.jpg","superuser",14.5501,47.5162,"ForeignTools"
"40090","433","Sickle","","Herts. Cty. Mus., St. Albans,Ball Collection","Austria","Austria","47.516231","14.550072","","None","None","None","155","100.5; blade 33, 23","","141.75","Dull green matt","Smooth","blade 6.5, 4; tang 5, 3","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156321479","https://farm9.staticflickr.com/8803/18156321479_1e7cd51389_m.jpg","superuser",14.5501,47.5162,"ForeignTools"
"40091","433","Sickle","","Herts. Cty. Mus., St. Albans,Ball Collection","Austria","Austria","47.516231","14.550072","","None","None","None","192","136; blade 42, 45, 28.5","","233.88","Green","Smooth","7, 4, 2.5, 4.5","","","","The end of blade is 16mm from plane, owing to curvature.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343976931","https://farm1.staticflickr.com/457/18343976931_8ac288d855_m.jpg","superuser",14.5501,47.5162,"ForeignTools"
"40092","433","Knife","","Royal Scottish Museum, Edinburgh,Reg. No. 1894.192","Central Europe","Central Europe","50.3784723","14.97059820000004","","None","None","None","235","30; butt 19","","124","Dark green patina","Well preserved","19; 1","","","","Knife, bronze: recurved + pointed blade, round socket; hatched ornament.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154670478","https://farm8.staticflickr.com/7752/18154670478_f63812d482_m.jpg","superuser",14.9706,50.3785,"ForeignTools"
"40093","433","Horse Bit","","Private Collection,11.4.24 (at S. of A),Capt. W. H. Murray","China","China","35.86166","104.19539699999996","","None","None","None","106, 109","rings 57 x 40; centre 26","","290","Polished patina mottled medium green. A patch (where shaded on linked ring) of dark red-brown patina + fawn coloured earth. A similar patch on other side of the other ring.","Smooth. Golden bronze shows on the square edges.","12, 12.25, 9.5","","","","The large rings are oval in section + the linked rings are round. The bars are crudely round.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343976821","https://farm9.staticflickr.com/8848/18343976821_46558f19be_m.jpg","superuser",104.1954,35.8617,"ForeignTools"
"40094","433","Chisel","","Pitt Rivers Museum, Farnham","Cyprus,Nicosia","Nicosia","35.166667","33.36666700000001","","None","None","None","162","below middle 17; end 8","15","141.75","Green + dark bronze","Rough","12","","","","Edge slightly indented","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17721856173","https://farm8.staticflickr.com/7743/17721856173_0e1eef179d_m.jpg","superuser",33.3667,35.1667,"ForeignTools"
"40095","433","Socketed Chisel","","Sold at Sotheby's, 23rd July 1926, Lot 460,Owner unknown","Cyprus","Cyprus","35.126413","33.429858999999965","","None","None","None","112","socket 14; edge 8.75","","","Dirty dark green + a drab coloured soil adheres.","Fairly smooth","socket 14.75","","","","","","Two items of this lot not drawn, one a bell + the other an ornament.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17721855903","https://farm1.staticflickr.com/512/17721855903_1985d5d193_m.jpg","superuser",33.4299,35.1264,"ForeignTools"
"40096","433","Tweezers","","Sold at Sotheby's, 23rd July 1926, Lot 460,owner unknown","Cyprus","Cyprus","35.126413","33.429858999999965","","None","None","None","84","","16.5","","Some dark green patina shows.","Rough. Earth encrusted all over + some light green powdery corrosion","","","","","","","Two items of this lot not drawn, one a bell + the other an ornament.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17719895014","https://farm8.staticflickr.com/7753/17719895014_8293cf2a03_m.jpg","superuser",33.4299,35.1264,"ForeignTools"
"40097","433","Sickle","","Pitt Rivers Museum,Farnham","Czecho-Slovakia,Moravia,Boskowitz (label)","Boskovice, Czech Republic","49.4875115","16.659976099999994","","None","None","None","180","blade 12, 33, 27","","113.39","Green","Rough","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154669728","https://farm9.staticflickr.com/8791/18154669728_c09e127903_m.jpg","superuser",16.66,49.4875,"ForeignTools"
"40098","433","Socketed Hammer","","Farnham Museum, Dorset","R. Danube","Danube","46.6661353","18.976064199999996","","None","None","None","80","37, 35","","255.15","Green","Rough","29, 26","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154669598","https://farm8.staticflickr.com/7750/18154669598_1492eafefb_m.jpg","superuser",18.9761,46.6661,"ForeignTools"
"40099","433","Awl","","Nationalmuseet, Copenhagen,No. B 8390","Denmark,Festykke H.,Stenlose S.","3660 Stenløse, Denmark","55.76861599999999","12.198309999999992","","None","None","None","48.75","rod 1.50; hammered centre 2.75","","1","","","","","","","Bronze pin slightly flattened in centre.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342525455","https://farm8.staticflickr.com/7796/18342525455_597d492685_m.jpg","superuser",12.1983,55.7686,"ForeignTools"
"40100","433","","","Nationalmuseet, Copenhagen,No. B3886","Denmark,Stovring H.,Harritsten S","9530 Støvring, Denmark","56.8881242","9.830045400000017","","None","None","None","304","base 48.5; shaft 27 (drawn as 25)","","648","","","11.5","","","","The whole object is slightly bent. Just below hook + bar is a hole. Double band of herringbone pattern extends whole length of shaft.","","Cf. No. B 3885","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156320059","https://farm9.staticflickr.com/8865/18156320059_d17b253dc0_m.jpg","superuser",9.83,56.8881,"ForeignTools"
"40101","433","2 (one drawn)","","Nationalmuseet, Copenhagen,No. B 3885 (1) + (2)","Denmark,Stovring H.,Harritslen S.","9530 Støvring, Denmark","56.8881242","9.830045400000017","","None","None","None","","","","(1) 1318; (2) 890","","","","","","","2 objects, similar in every detail, except weight. End solid. Both corroded. 3 large perforations in shafts. Herringbone band round side rim below hook.","","Cf. No. B3886","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154669118","https://farm9.staticflickr.com/8883/18154669118_402d55ddec_m.jpg","superuser",9.83,56.8881,"ForeignTools"
"40102","433","Knife","","Peabody Museum,Harvard University,4696,Cambridge, Mass.,Received by purchase 1868,Collected by Wilmot J. Rose.","Denmark,Jutland,Osterbo","Jutland, 6040 Egtved, Denmark","55.62954999999999","9.20105000000001","","None","None","None","97","blade 18; handle 14","","","light green","Somewhat corroded at point.","4.5 tapering down","","","","(Broken and sewn on card)","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343975991","https://farm8.staticflickr.com/7782/18343975991_6676d2a82b_m.jpg","superuser",9.2011,55.6295,"ForeignTools"
"40103","433","Twisted Gold Wire (2 pieces)","","Nationalmuseet, Copenhagen,No. 13 (1) + (2)","Denmark?,No provenance listed.","Denmark","56.26392","9.50178500000004","","None","None","None","","(1) Diameter of wire about 1mm, of coil c. 14mm; (2) similar, but with 1 twist less","","Approximate (1) 3 gr; (2) 2 gr","","","","","Gold","","Twisted wire","","Not drawn,Cf. No. B 8389, Bronze Ring","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154780090","https://farm1.staticflickr.com/445/18154780090_be131555af_m.jpg","superuser",9.5018,56.2639,"ForeignTools"
"40104","433","Pin","","Nationalmuseet, Copenhagen,No. B 9611","Denmark,Skippinge H.,Breynivge S.","4534 Skippinge, Denmark","55.740289","11.399380000000065","","None","None","None","143","head 17.5","","26","","","","","","","Bronze pin with hollow spherical head, perforated.","Illustrated by Sophus Muller ""Oldtidens Kimst Bronzegealeren,"" p. 3, fig., 13.","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17721854883","https://farm8.staticflickr.com/7790/17721854883_dde93e1ab5_m.jpg","superuser",11.3994,55.7403,"ForeignTools"
"40105","433","Pin","","National Museet, Copenhagen,No. B 6229","Denmark,Zealand,Fredriksborg,Lynge H.,Grose S.","3540 Lynge, Denmark","55.8410507","12.282758899999976","","None","None","None","67","head 20","","24","","","","","Bronze","","Hollow headed pin; spherical top. No decoration. Item broken half way down.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18338521542","https://farm8.staticflickr.com/7737/18338521542_3dfd411a8a_m.jpg","superuser",12.2828,55.8411,"ForeignTools"
"40106","433","Pin + other fragments","","Nationalmuseet, Copenhagen,No. A 5158","Denmark,Jutland,Randers Nr. H,Eusler","Randers, Denmark","56.460584","10.036538999999948","","None","None","None","33","19 (head)","","8","","","","","","","Corroded fragments of a pin - ?holed spherical-headed type.","See Aorboger 1866, 20f.","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156319099","https://farm8.staticflickr.com/7785/18156319099_f74f0a755e_m.jpg","superuser",10.0365,56.4606,"ForeignTools"
"40107","433","Razor?","","Nationalmuseet, Copenhagen,No. B7698","Denmark,Zealand,Sjaelland,Horns H.,Gjorler S.","Zealand, Denmark","55.4632518","11.721497900000031","","None","None","None","80","15","","7","","","","","","","Plain bronze razor?","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18316075266","https://farm9.staticflickr.com/8811/18316075266_f07b6119c7_m.jpg","superuser",11.7215,55.4633,"ForeignTools"
"40108","433","Knife Blade","","Horniman Museum,Forest Hill, SE,bought","Denmark","Denmark","56.26392","9.50178500000004","","None","None","None","62","10","","3.7","Emerald green patina","Smooth","about 1mm; looped end about 1.5mm","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156318799","https://farm8.staticflickr.com/7771/18156318799_4fa59401ab_m.jpg","superuser",9.5018,56.2639,"ForeignTools"
