"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"38988","580","Adze","","Herts County Museum, St. Albans,lent by Capt. J.H. Ball, RAF,(from Canon Greenwell's Collection)","Site unknown","",,,"","None","None","None","269","edge 72.25; across socket 56; blade at butt 45","","1091.46","traces of patina medium green.","smooth. reddy brown copper. Rougher on the underside (in hollow of blade etc) from casting. Traces of patina over this roughness.","socket 26","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17314225383","https://farm6.staticflickr.com/5444/17314225383_bbb7056bd7_m.jpg","superuser",,,"ForeignUnprov"
"38989","580","Adze","","Private Collection,1923,Lord Howard de Walden, Belgrave Square SW.,328.","","",,,"","None","None","None","155","edge 166; butt 69","","1800.22","polished dark green. mottled black.","smooth","middle 18; butt 37","","","","This tapers from thick butt to the edge.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17747960968","https://farm6.staticflickr.com/5441/17747960968_bf664faf06_m.jpg","superuser",,,"ForeignUnprov"
"38990","580","Adze","","Private Collection,E.N. Witchell Esq., Strand, Glos.","","",,,"","None","None","None","189.5","edge 59,butt 21; 36","","425.25","encristed patina of rough green, which practically covers the specimen.","rough. Dark red copperish metal shows in places, & traces of light earth.","blade 6.5; 8.5,near the edge 8,butt end 10","","","","The butt is flat & thick. The sides from butt to edge are rounded off, but get flatter towards the edge. Edge is bevelled & sharpened on one side only.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17932735672","https://farm6.staticflickr.com/5321/17932735672_0906231624_m.jpg","superuser",,,"ForeignUnprov"
"38991","580","Axe Hammer","","Charterhouse Museum. No. 86/4.","","",,,"","None","None","None","157","edge 31; butt 17; hole 24 (diam)","","604","patches of green patina","in rough condition. dark rich brown","46.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17747585218","https://farm9.staticflickr.com/8805/17747585218_c3b2830906_m.jpg","superuser",,,"ForeignUnprov"
"38992","580","Perforated Axe","","Brentford Public Library,Layton Collection,O.1257.","","",,,"","None","None","None","154","edge 55; socket 40","","","Green patina, worn off and chipped showing red or copper-coloured metal.","corroded.","socket 36","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17932735272","https://farm6.staticflickr.com/5348/17932735272_bdabc16854_m.jpg","superuser",,,"ForeignUnprov"
"38993","226","Axe head","","Royal Scottish Museum, Edinburgh, Reg. No. 1882.59.21","Note: From the colour of the bronze and the patina it would appear to come from Egypt or Assyria, but examples similar in form have been found in S. Italy","",,,"","None","None","None","90","32, centre 20","","94","Bronze colour with patches of light green.","in fair condition","23","","","","Axe head (wanting the spike or hammer portion)","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17748965019","https://farm8.staticflickr.com/7758/17748965019_feae21836d_m.jpg","superuser",,,"ForeignUnprov"
"38994","226","Axe","","Royal Scottish Museum, Edinburgh, Reg. No. 1894.191","Uncertain. Similar implements assigned to the Bronze Age, have been found in the terramare in the vicinity of Parma.","",,,"","None","None","None","184","90, centre 38, butt 22","","16382","green","in good condition","20, 6","no decimal point in the weight but I'm guessing there should be one??","","","Implement, flat, thin spade with open socket partitioned lengthwise, and having one nail hole.","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17932857022","https://farm6.staticflickr.com/5350/17932857022_9c16215867_m.jpg","superuser",,,"ForeignUnprov"
"38995","580","Axe (Hungarian Type)","","Private collection,Professor Sir Lucas-White-King CSI. LLD. FSA,late of Roebuck Hall, Co Dublin.,Sold by Auction at Sotheby's 9. 11. 21. Lot 139.","Locality unknown","",,,"","None","None","None","100","edge 45.5; socket end 25","","","thick dar green.","smooth","37","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17748082128","https://farm8.staticflickr.com/7749/17748082128_905ddf80e0_m.jpg","superuser",,,"ForeignUnprov"
"38996","580","Axe","","Peabidy Museum,Harvard University, Cambridge, Mass. E 2182,Bequest of Prof. H.W. Haynes. 1912","Locality unknown","",,,"","None","None","None","159","edge 68; butt 65","","992.25","heavy dark.","","socket 38","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17747416700","https://farm9.staticflickr.com/8834/17747416700_d95e640c69_m.jpg","superuser",,,"ForeignUnprov"
"38997","580","Axe","","Peabody Museum,Harvard University, Cambridge, Mass. E 2406,Bequest of Prof. H.W. Haynes, 1912.","Locality unknown","",,,"","None","None","None","127","edge 53; butt 29","","","dark","","socket 43; butt 29","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17909029326","https://farm6.staticflickr.com/5466/17909029326_ba5aa122ee_m.jpg","superuser",,,"ForeignUnprov"
