"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"62682","580","Bracelet Fragment","Y","Moyses Hall Museum, Bury St. Edmunds,Acc. No. 7.120.","Cambs,Isleham,52/635728,Found in ploughing","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","None","1959","","","","","","","","","","The Isleham hoard","","Antiquity 34 (1960) 279-282","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26682227124","https://farm8.staticflickr.com/7446/26682227124_18ddd2e3e9_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62683","580","Decorated Spearhead Frags.","","Moyses Hall Museum, Bury St. Edmunds.","Cambs,Isleham,52/635728,Found in ploughing","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","None","1959","","","","","","Good","","","","The Isleham hoard","","Antiquity 34 (1960) 279-282","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26683333703","https://farm8.staticflickr.com/7020/26683333703_cfd05ba3b6_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62684","580","Fragments of Hollow Cast Spearheads","","Moyses Hall Museum, Bury St. Edmunds,Acc No F.120","Isleham Hoard,Map Ref 52/635728,Dec 1959","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","12","1959","","","","","","good","","","","","Fourteen fragments of hollow cast spearheads","","Edwardson, curator","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26683333633","https://farm8.staticflickr.com/7737/26683333633_648ee3a978_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62685","580","Fragments of Hollow Cast Spearheads","","Moyses Hall Museum, Bury St. Edmunds,Acc number F.120","Isleham Hoard,Map Ref 52/635728,Dec 1959","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","12","1959","","","","","","good","","","","","Eighteen fragments of hollow cast spearheads","","Edwardson, curator","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26683333493","https://farm8.staticflickr.com/7251/26683333493_7cb42f877b_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62686","580","Fragments of Hollow Cast Spearheads","","Moyses Hall Museum, Bury St. Edmunds,Acc No F.120","Isleham Hoard,Map Ref 52/635728,Dec 1959","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","12","1959","","","","","","","","","","","Eighteen fragments of hollow spearheads","","Special note: there are also 156 fragments split from blades and sockets of spearheads, none more than 2 inches long and many very small, none show decoration. These small fragments have not been drawn.,Edwardson, Curator","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27289258135","https://farm8.staticflickr.com/7063/27289258135_d4024d4733_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62687","580","Fragments of Hollow Cast Spearheads","","Moyses Hall Museum, Bury St. Edmunds,Acc No F.120","Isleham Hoard,Map Ref 52/635728,Dec 1959","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","12","1959","","","","","","good","","","","","Twelve fragments of hollow cast spearheads. Nos. 3 & 11 with traced-groove ornament round the socket mouth","","Edwardson, Curator","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26683333363","https://farm8.staticflickr.com/7744/26683333363_0bdb27f88f_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62688","433","Fragments of hollow cast Spearheads","","Moyses Hall Museum,Bury St. Edmunds,Acc. No. F.120","England,Cambridgeshire,Isleham,Isleham Hoard,Dec. 1959","Isleham, Cambridgeshire, UK","52.340264","0.4110170000000153","Map Ref 52/635728","None","12","1959","","","","","","Good","","","","","Eight fragments of hollow cast spearheads. Number 3 is split lengthways","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26683333523","https://farm8.staticflickr.com/7502/26683333523_6e765e642d_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62689","433","Hollow Cast Fragments of Spearheads","","Moyses Hall Museum,Bury St. Edmunds,Acc. No. F.120","England,Cambridgeshire,Isleham,Isleham Hoard,Dec. 1959","Isleham, Cambridgeshire, UK","52.340264","0.4110170000000153","Map Ref 52/635728","None","12","1959","","","","","","Good","","","","","Seventeen fragments of hollow cast spearheads","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26682225914","https://farm8.staticflickr.com/7410/26682225914_56c5dbba8c_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62690","433","Hollow Cast Fragments of Spearheads","","Moyses Hall Museum,Bury St. Edmunds,Acc. No. F.120","England,Cambridgeshire,Isleham,Isleham Hoard,Dec. 1959","Isleham, Cambridgeshire, UK","52.340264","0.4110170000000153","Map Ref. 52/635728","None","12","1959","","","","","","Good","","","","","Six fragments of spearheads","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/27013957120","https://farm8.staticflickr.com/7167/27013957120_4ab01b4d5b_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
"62691","433","Hollow cast spearheads","","Moyses Hall Museum,Bury St. Edmunds,Acc. No. F.120","England,Cambridgeshire,Isleham,Isleham Hoard,Dec. 1959","Isleham, Cambridgeshire, UK","52.340264","0.4110170000000153","Map Ref. 52/635728","None","12","1959","","","","","","Good","","","","","Twenty hollow cast spearpoints","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26682225664","https://farm8.staticflickr.com/7341/26682225664_479f837ddd_m.jpg","superuser",0.411,52.3403,"OxfordBAI"
