"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"50266","433","Sword","","Private - Roger Mintey","England,Surrey,Blechingley,Found by Roger Mintey with a metal detector","Bletchingley, Surrey, UK","51.240586","-0.09916199999997843","TQ 330 523","None","None","None","","","","","","","","","","Single Find","Typology: Sword blade fragment","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23031975733","https://farm6.staticflickr.com/5725/23031975733_5555e438d3_m.jpg","superuser",-0.0992,51.2406,"SwordsPt3"
"50267","433","Sword","","Private - Mike Smith","England,Surrey,Betchworth,Found by Mike Smith while searching with a metal-detector","Betchworth, Surrey, UK","51.240523","-0.26736400000004323","TQ 209 502","None","None","None","","","","","","","","","","Single Find","Typology: Sword blade fragment","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23550482002","https://farm1.staticflickr.com/634/23550482002_90b1d1f3b2_m.jpg","superuser",-0.2674,51.2405,"SwordsPt3"
"50268","433","Sword; Ballintober type","","Chertsey Museum,from S.A. Oliver Esq.","England,Surrey,Egham,Mixnams Farm","Egham, Surrey, UK","51.428825","-0.5478759999999738","","None","None","None","507","46","","","","","","","","","","","For type, see G. Eogan, Catalogue of Irish Bronze Swords (1965), figs. 3 + 4, & p. 5 A. For list of similar swords from Thames, B.A.V. Trump. P.P.S. XXVIII (1962), p. 98,Dating 1000 - 900 B.C.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23363366890","https://farm6.staticflickr.com/5783/23363366890_ec8ffb9493_m.jpg","superuser",-0.5479,51.4288,"SwordsPt3"
"50269","433","Sword","IIb","Society of Antiquaries,Burlington House,Roots Collection","England,Surrey,Kingston,found in Blue Clay under 9 ft. of gravel,1852","Kingston upon Thames, Greater London, UK","51.41233","-0.30068900000003396","","None","None","1852","687","blade 42.5, 42; hilt 61, 25.5, 38","","642.6","Blackish grey patina golden bronze showing through.","Smooth. Sandy earth adheres to hilt.","Blade 5 & 9","","Bronze","","Well preserved. Blade slightly bent towards the point.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23659035055","https://farm1.staticflickr.com/601/23659035055_209e4ecb22_m.jpg","superuser",-0.3007,51.4123,"SwordsPt3"
"50270","433","Sword","","Private collection (1991) - Peters, J.W.,8 Kings Road, Biggin Hill, Kent, TN16 3XU","England,Surrey,Warhingham,Nore Hill,Found by K.W. Peters 1990-91","Warlingham, Surrey, UK","51.3093239","-0.05590099999994891","","None","None","1990","28","blade width 29","","","","","","","","Single Find","Typology: Sword blade - short almost square fragment,Condition: Fragment","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23030878364","https://farm6.staticflickr.com/5707/23030878364_c4a40e6094_m.jpg","superuser",-0.0559,51.3093,"SwordsPt3"
"50271","433","Sword; Hallstatt","VI","Crawley Devel. Corp.","England,Sussex,Crawley New Town,R. Mae - junction with Polesfleet,June 1952","Newtown, Copthorne, Crawley, West Sussex RH10 3LZ, UK","51.1369982","-0.11715170000002217","","None","6","1952","609.6","","","","","","","Length: 24 "" = 609.6mm","","","Hilt broken off above shoulders.","Suss. Notes + Queries, 13, 291.","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23576603961","https://farm6.staticflickr.com/5797/23576603961_f76a548d8d_m.jpg","superuser",-0.1172,51.137,"SwordsPt3"
"50272","433","Sword Hilt","","Bragg, Mr. S. - private (1995),Flat 4, 32 Acton Lane, W4SED","England,Sussex (West),nr. Chichester","Chichester, Chichester, West Sussex, UK","50.83761000000001","-0.7749360000000252","c. SU 86 04","None","None","None","134.5","butt 33.3; neck 20.7; sh. 65.5; ric. 32.0; break 36.0; rivet 4.0-4.4","","159.3","","V. fine dark green patina; hilt repair tends to have a slightly brighter colour.","bl. 9.6","","","","Dimensions: EL 134.5mm; W butt 33.3; W neck 20.7; Wsh. 65.5; W ric. 32.0; W break 36.0; Wt. 159.3g; W rivet 4.0-4.4; Tbl 9.6; B fg. 10.5,Typology: rivet section square with flattened angles (-octagonal); crisp upstanding flanges & neatly flattened ricassos; omega hilt-line preserved as scratch marks on both faces.,Manufacture: at least one side, possibly both, of original hilt were given transverse keying groove prior to casting on the repair; latter is much thicker and more amorphous with flow lines, except where heavily ground on sides; slot in repair is only an indent with a 'bar' across it; many fine grinding marks on blade and shoulders,Condition: fair edges but not very sharp; slight profile bend at break.","","PIF (sketch over); Rec: SN March 95; Source: Sb.A.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23576603651","https://farm1.staticflickr.com/620/23576603651_345ca28177_m.jpg","superuser",-0.7749,50.8376,"SwordsPt3"
"50273","433","Sword Fragment (shoulder frag.)","Frag.","Feb. 1939,On loan to Littlehampton Museum","Englang,Sussex,Vapton,Flansham","Flansham, Bognor Regis, West Sussex PO22, UK","50.8029568","-0.6380877999999939","","None","None","None","50","50","","60","Dull green & brown patina","Smooth","6","","","2 socketed celts & 5 fragts; 2 socketed gouges & 1 fragt.; 1 socketed knife fragt.; 2 sword fragts; 1 ferrule & 1 fragt.; 1 spearhead VI fragt; 1 copper cake & 25 metal lumps.","Upper part of blade; two rivet holes in shoulder (of) of them torn; a concavity on the upper surface, corresponding with that point from which the missing hilt sprang; besides this is another small concavity representing a third rivet hole. Pointed oval section, edges slightly rough.","Sussex Notes & Queries VII, 78","This hollow represents a third rivet hole.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23030877844","https://farm6.staticflickr.com/5632/23030877844_1e50f146a5_m.jpg","superuser",-0.6381,50.803,"SwordsPt3"
"50274","580","Sword Fragment","IVa","Feb. 1939,On loan to Littlehampton Museum.","England,Sussex,Tapton,Flansham","Flansham, Bognor Regis, West Sussex PO22, Royaume-Uni","50.8029568","-0.6380877999999939","","None","None","None","73","45","","93","Dull green","pitted round shoulders; large patch of encrustment on one side of blade.","7","","","2 socketed celts & 5 fragts.; 2 socketed gouges & 1 fragt.; 2 sword fragts.; 1 ferrule & 1 ferrule fragt.; 1 spearhead VI fragt.; 1 copper cake & 25 metal lumps; 1 socketed knife fragt.","Shoulders & upper part of blade only. Two rivet-holes, one retaining the rivet, which has an over-all length of 12 mm. Blade somewhat bent. Pointed oval section. Rudimentary ricasso notches.","Sussex Notes & Queries VII, 78.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23363364840","https://farm6.staticflickr.com/5695/23363364840_980eee944e_m.jpg","superuser",-0.6381,50.803,"SwordsPt3"
"50275","433","Leaf shaped sword","IVa","Private Collection,1923,A. Henderson Bishop Esq.,Thornton Hall,Lanarkshire,frmo Collection - Davies of St. Fillan,? Now in Glasgow University","Scotland,Perthshire,Errol,Druidstone Park","Errol, Perth, Perth and Kinross PH2, UK","56.391946","-3.2127279000000044","","None","None","None","534","hilt 49; blade 37","","549.28","peacock green patina, much worn, colour mottled brown & pale green","","blade 7","","","","Two rivets adhering. Point + hilt broken off. Edge worn.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23291091059","https://farm6.staticflickr.com/5820/23291091059_476e2b8873_m.jpg","superuser",-3.2127,56.3919,"SwordsPt3"
