"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"7998","243","Tanged ""Chisel""","","Carisbrooke Museum., Presented by Sir L. Holmes.","england, (isle of wight), arreton or arreton down or shaleombe down, found by mr. dennett in 1816","arreton","50.68211","-1.244398","","None","None","1816","60","","19","15","","","4.5","2 cross section drawings of chisel on reverse., edge is somewhat chipped and damged.","","","","Hillies History of the Isle of Wight. Pt. i. p.6.,, , Journ. Brit. Arch. Ass. Winchester. (1846) p. 151.,, , Dennett MS. No 2. fig. iii.","It seems uncertain whether this is ""the small bronze instrument"" said to have been found in a barrow on Shalecombe Down in 1816, or whether it was found about the same time on Arreton Down.  Mr. Crawford is inclined to the latter view.","Jeff Okazaki","http://farm6.staticflickr.com/5595/14118602147_c1feaa2487_b.jpg","http://www.flickr.com/photos/MicroPasts/14118602147","superuser",-1.2444,50.6821,"arretonHoard"
"7999","243","Flanged Celt.","[Red Dot]","British Museum, Stoane Coll. 743.","england, isle of wight, south arreton, arreton down, 1735/7, found by mr. coole","arreton","50.67425","-1.248432","","None","7","1735","202","","107","","","green","","3 cross section drawings of celt on reverse., 2 parallel lines on center","","found with a dagger. 1 flanged celt & 3 spearheads.","","Archaeologica V 113. XXXVI 329, Evans Bronze. fig 8.","(2cor.us.g.v.) [Transcriber's comment - 2 cards?]","Jeff Okazaki","http://farm4.staticflickr.com/3800/14118602187_730050a6ab_b.jpg","http://www.flickr.com/photos/MicroPasts/14118602187","superuser",-1.2484,50.6743,"arretonHoard"
"8000","243","Flanged Celt","[Red Dot]","British Museum S.L. 744","england, isle of wight, south arreton, arreton down","arreton","50.67961","-1.235085","SZ 54 86","None","None","None","112","","63","196.11","bright green.  bronze shows on reverse.","corroded","","3 cross section drawings of palstave attached to reverse (over top of 2 cross section drawings) with text ""SL 794 F of. Wight."",, , Edge is crescent shaped, very flared at sides, one corner missing.","","Part of hoard","No Stop ridge.","Archaeologica 113. XXXVI. 329., Kemble & Franks Horde Ferales pl. vi. pgs 24 & 25","On display, CI, (2 conves qv.)","Jeff Okazaki","http://farm3.staticflickr.com/2899/14281998356_0bfb65a5f1_b.jpg","http://www.flickr.com/photos/MicroPasts/14281998356","superuser",-1.2351,50.6796,"arretonHoard"
"8001","243","Flanged Celt","[Red Dot]","British Museum, Sloane Coll 744","england, isle of wight, arreton down, 1735/7.","arreton","50.67966","-1.235257","","None","7","1735","113","","66","","","","","3 cross section drawings of palstave on reverse., Edge is crescent shaped, very flared. One corner missing.","","found with a dagger. 1 flanged celt & 3 spearheads","","Archaeologia V 113 XXXVI 329.","","Jeff Okazaki","http://farm4.staticflickr.com/3679/14118458189_ed7269c776_b.jpg","http://www.flickr.com/photos/MicroPasts/14118458189","superuser",-1.2353,50.6797,"arretonHoard"
"8002","243","Ogival Incised Dagger Rivetted","Ogival [Red Dot]","British Museum Sloane Coll. 745.","isle of wight, south arreton, arreton down","arreton","50.67972","-1.234828","SZ 54 86","None","7","1735","230","","","644.25","","smooth","","Weight is very difficult to make out on card, may be 444.25 or something else entirely, 2 cross section drawings of dagger attached to reverse on top of drawing on card.  Text ""SL. 745 F. of Wight. e"", Portion of blade near hilt plate missing, long v-shaped ornamentation on face of blade with rounded end close to hilt plate.","","found with 2 flanged celts & 3 spearheads","1 rivet hole & 1 broken., hilt plate chipped & dented.","Archaeologia V 113 XXXVI 329, Hor. Fer. VII 18","CI","Jeff Okazaki","http://farm4.staticflickr.com/3738/14118458279_8562bb16da_b.jpg","http://www.flickr.com/photos/MicroPasts/14118458279","superuser",-1.2348,50.6797,"arretonHoard"
"8003","243","Spearhead. I","[Red Dot] A","British Museum, S.L. 746","england, isle of wight, south arreton, arreton down","arreton","50.67996","-1.234742","N1, SZ 54 86","None","None","None","262","","","248.81","deep green. golden bronze shows.","rather rough.  corroded on tang.","","2 cross section drawings of palstave taped to reverse., butt notched., Association, part of a hoard of 2 flanged axes, 1 dagger, and 2 other spearheads.","","Part of a hoard.","High mid rib. with 4 ribs on right & 3 on left.","Archaeologia 113. XXXVI. 329,, , Kemble & Frankes Horae Ferales pl. VI. pgs 24 & 25.","CI","Jeff Okazaki","http://farm4.staticflickr.com/3770/14325322713_d6192aa7bc_b.jpg","http://www.flickr.com/photos/MicroPasts/14325322713","superuser",-1.2347,50.68,"arretonHoard"
"8004","243","SPEARHEAD","[Red Dot]","LONDON, British Museum, SL 746","isle of wight, south arreton, arreton down","arreton","50.67569","-1.239935","SZ 54 86","None","None","None","262","49","","","","green with golden bronze showing through; rather rough with corrosion on tang","","4 cross section drawings of spearhead on reverse with text ""SL. 746 F. of Wight""., 3 ribs running down face of blade on one side, 4 on the other., Rivet hole is broken in half and missing at bottom of tang.","","Hoard of 8 objects","","","","Jeff Okazaki","http://farm4.staticflickr.com/3779/14118457839_1f7995b6ea_b.jpg","http://www.flickr.com/photos/MicroPasts/14118457839","superuser",-1.2399,50.6757,"arretonHoard"
"8005","243","Spearhead. Cl I","[Red Dot] A","British Museum S.L. 747","england, isle of wight, south arreton, arreton down","arreton","50.67991","-1.234785","N1, SZ 54 86","None","None","None","206","","","158.42","blue green","much corroded","10","4 cross section drawings of spearhead attached to reverse with text SL 747 F of. Wight""., Strong triangular midrib running down face of blade, narrowing toward point., Riven hole mostly broken","","Part of a hoard.","Two small notches on tang - one side only.","Archaeologia 113. XXXVI. 329, Kemble & Frankes Horae Ferales pl. vi. pgs 24-25.","CI","Jeff Okazaki","http://farm4.staticflickr.com/3748/14118601647_b5c2470145_b.jpg","http://www.flickr.com/photos/MicroPasts/14118601647","superuser",-1.2348,50.6799,"arretonHoard"
"8006","433","Spearhead I","A","British Museum,S.L. 748","england,isle of wight,south arreton,arreton down","arreton down","50.70192","-1.217957","","None","None","None","200","28","","140","dark green","corroded in places","8","Width: blade 28mm, 41mm; tang 10mm,Thickness: blade 7.5mm,Weight: 140.4 gms","","Part of a hoard","Two small notches in tang (on face only)","Archaeologica 113. XXXVI, 329,Kemble, Franks: Horae Ferales, pl. VI. figs. 24 and 25","","Joellen mcGann","http://farm3.staticflickr.com/2908/14325322273_cc705f710c_b.jpg","http://www.flickr.com/photos/MicroPasts/14325322273","superuser",-1.218,50.7019,"arretonHoard"
"8007","433","Spearhead II","B","British Museum,W.G. 2074","england,isle of wight,south arreton,arreton down","arreton down","50.70192","-1.217957","N1,S2,54,86","None","None","None","216","25","33","270","black stains on dark bronze","polished","10","Length: 215.5 mm,Width: blade 33mm, 46mm; socket 25mm,Thickness: blade 10mm; socket 22mm,Weight 270.08 gms","","","2 rivet holes,Socket ornamented with incised lines and the blade is grooved.,Point is worn. Edges finely notched. 2 bosses on each side of socket.","Archaeologia, XXXVI, pl. 25, fig. 3","","Joellen mcGann","http://farm3.staticflickr.com/2903/14118513050_571f04486b_b.jpg","http://www.flickr.com/photos/MicroPasts/14118513050","superuser",-1.218,50.7019,"arretonHoard"
