"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"11011","473","ARROWHEAD","","PRIVATE - Mr Edward C. Parry-Jones, The Mause, Trelogan, nr Holywell, Clwyd, CH8 9BY","england, yorkshire, york, found in a field near york","york","53.95906","-1.081536","","None","None","None","40","","","","","","","I put the 'Typology' and 'Condition' information in the 'Description' box. And I put the 'Circumstances' information in the 'Site' box","","SINGLE FIND","Socketed Arrowhead, Complete","","","Dina Fathalla","https://farm4.staticflickr.com/3863/14739481249_2ff9bb1238_b.jpg","https://www.flickr.com/photos/MicroPasts/14739481249","superuser",-1.0815,53.9591,"arrowheads"
"11012","243","ARROWHEAD, BARBED AND TANGED","","Biss, Mr. T. - private (1993),12 Upton, East Knoyle, Salisbury, Wilts.","wiltshire,eastknoyle,found sept 1992 by mr. biss metal-detecting in a ploughed field. the object was 3-6"" deep","east knoyle","51.07460","-2.173337","ST 8788 3332","None","9","1992","61.2","31.5","","","dark green","dark green p. intact; possible waxy coating","3.2,MaxT e.bev. 2.0","6 cross section drawings of arrowhead on reverse with text, ""Submitted Object ""Eastknoyle"" Wilts (Mr. T Biss) S. Needham."" and ""drawn:- Scale 1:1 SPC 29/1/93"",Tang appears to have an avulsion on one side separating the metal from the bottom portion of the tang.","","","TYPOLOGY: good loz. section with neat e. bevels; barbs; taper to inner edges as well, but more blunt than outer; tang flat with crudely chambered sides,MANUFACTURE: Grinding marks along e. bevels - localised secondary bevel; bifacial grinding out of notches under barbs; tiny lip of metal where ridge on spur flattened against tang face.,CONDITION: edges pretty sharp with only minor damage","","PIF,Rec.: Sn. Jan 93,Source: Sb. A.,Add.: (Receipt no. 725)","Jeff Okazaki","https://farm4.staticflickr.com/3860/14903141726_4306e56568_b.jpg","https://www.flickr.com/photos/MicroPasts/14903141726","superuser",-2.1733,51.0746,"arrowheads"
"11013","243","Arrowhead","","Liverpool Museum,7225","locality unknown","liverpool","53.40547","-2.980539","35 gms","None","None","None","30","","blade 16","","brown to black","","blade 2.75","No accuracy on geolocation reference.,2 cross section drawings of arrowhead on reverse.,Arrowhead appears to be barbed and tanged.,Fairly wide edge bevel, edge fairly worn and chipped.,Tip rounded.,Base of tang slightly wider.","","","","","","Jeff Okazaki","https://farm6.staticflickr.com/5592/14739469549_c190dfb39d_b.jpg","https://www.flickr.com/photos/MicroPasts/14739469549","superuser",-2.9805,53.4055,"arrowheads"
"11014","243","Arrowhead.","","Farnham Museum,Dorset.","locality unknown.","dorset","50.75000","-2.333333","","None","None","None","60","7 tang","13 blade","14-17 gms","","smooth dark bronze","4 blade.","2 cross section drawings of arrowhead on reverse.,Arrowhead is leaf shaped?,Tang extends below blade and connects to blade in a ""V"" shape.","","","","","","Jeff Okazaki","https://farm6.staticflickr.com/5587/14739469869_20e86028f6_b.jpg","https://www.flickr.com/photos/MicroPasts/14739469869","superuser",-2.3333,50.75,"arrowheads"
"11015","243","Arrowhead.","","Farnham Museum,Dorset.","locality unknown.","dorset","50.75000","-2.333333","","None","None","None","60.","tang 8","blade 12","14-17 gms","","Smooth. dark bronze","3.5 blade","No accuracy on geolocation reference.,2 cross section drawings of arrowhead on reverse.,Arrowhead is tanged and barbed.,Barbs very short on tang side.,Tang appears slightly damaged, or notches roughly formed.,Possible midrib running down centre of blade?,Blade long and somewhat leaf shaped, edge tip rounded.","","","","","","Jeff Okazaki","https://farm4.staticflickr.com/3879/14739521798_5b07ced07a_b.jpg","https://www.flickr.com/photos/MicroPasts/14739521798","superuser",-2.3333,50.75,"arrowheads"
"11016","243","Arrowhead.","","Farnham Museum,Dorset.","locality unknown","dorset","50.75000","-2.333333","","None","None","None","60","","blade 13","7.08","black.","smooth","4","No accuracy on geolocation reference.,2 cross section drawings of arrowhead on reverse.,Arrowhead is barbed, likely tanged.,Barbs extremely small or very much worn.,Object is roughly oval shaped.,Tip rounded.","","","","","","Jeff Okazaki","https://farm4.staticflickr.com/3871/14923055301_be9dec7ed7_b.jpg","https://www.flickr.com/photos/MicroPasts/14923055301","superuser",-2.3333,50.75,"arrowheads"
"11017","243","Arrowhead","","Peabody Museum. Harvard University,Haynes Colln. By bequest 1912.\,Cambridge. Mass.,E2236","locality unknown.","","52.61967","-3.540247","","None","None","None","80","","blade 17","","slight.","","blade 3","No accuracy on geolocation reference.,1 side profile drawing of arrowhead on reverse.,Arrowhead is tanged and barbed.,Tang extends quite far below barbs, else drawing shows remnant of wood shaft.,Barbs cut into blade quite far but notches do not extend all the way up barbs.,Tang is roughly triangular with wider mouth.,Edge has a chip on one side.,Tip pointed.","","","","","","Jeff Okazaki","https://farm4.staticflickr.com/3901/14739562277_3fdd4ac2d6_b.jpg","https://www.flickr.com/photos/MicroPasts/14739562277","superuser",-3.5402,52.6197,"arrowheads"
"11018","473","Arrowhead","","Peabody Museum E2232, Harvard University, Cambridge. Mass., Bequest of Prof. Hy. W. Haynes. 1912.","locality unknown","","54.70235","-3.276575","","None","None","None","40","15","","","","breccia incrustation","6","Included blade width 15mm, but didn't know where to put socket weight (8mm)","","","Socket broken","","","Dina Fathalla","https://farm4.staticflickr.com/3911/14739471119_d5e3775ca4_b.jpg","https://www.flickr.com/photos/MicroPasts/14739471119","superuser",-3.2766,54.7024,"arrowheads"
"11019","473","Arrowhead","","Peabody Museum E2234, Harvard University, Cambridge. Mass., Bequest of Prof. Hy. W. Haynes. 1912.","locality unknown","","54.70235","-3.276575","","None","None","None","42.5","9.5","","","","encrusted in hollows.","4","Need another section for the socket measurements. Only transcribed the blade measurements, pending is: socket width and thickness.","","","Socket broken off.","","","Dina Fathalla","https://farm4.staticflickr.com/3876/14739468980_3e27eb174a_b.jpg","https://www.flickr.com/photos/MicroPasts/14739468980","superuser",-3.2766,54.7024,"arrowheads"
"11020","473","Arrowhead","","Peabody Museum E2229, Harvard University, Cambridge. Mass., Bequest of Prof. Hy. W. Haynes. 1912.","unknown","","54.70235","-3.276575","","None","None","None","56","blade 13, tang 8.5","","","light","","3","","","","","","","Dina Fathalla","https://farm4.staticflickr.com/3922/14739563327_023ce3fbb3_b.jpg","https://www.flickr.com/photos/MicroPasts/14739563327","superuser",-3.2766,54.7024,"arrowheads"
"11021","473","Arrowhead","","Peabody Museum, Harvard University E2230, Cambridge. Mass., Bequest of Prof. H. W. Haynes. 1912.","locality unknown","","54.70235","-3.276575","","None","None","None","46","15 blade, 7.5 socket","","","light.","","blade 4, socket 7.5","","","","Perforation at A","","","Dina Fathalla","https://farm6.staticflickr.com/5584/14739523168_becb675b78_b.jpg","https://www.flickr.com/photos/MicroPasts/14739523168","superuser",-3.2766,54.7024,"arrowheads"
"11022","473","Arrow Heads","","Chadwick Museum, Bolton","locality unknown.","","54.70235","-3.276575","","None","None","None","","","","","","","","","bronze","","","","","Dina Fathalla","https://farm6.staticflickr.com/5586/14926139755_f60f571246_b.jpg","https://www.flickr.com/photos/MicroPasts/14926139755","superuser",-3.2766,54.7024,"arrowheads"
