"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"34224","433","Crotal","","British Museum Collection, 1854.0714.13,See catalogue entry,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","1820","","","","","","","","","Bronze  (Copper Alloy)","Dowris Hoard","Bronze Crotal:  Hollow-base spherical pendant enclosing a small metal lump to serve as a rattle; initially cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for suspension.","See catalogue","Late Bronze Age (950 BC - 250 BC)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16803338765","https://farm8.staticflickr.com/7594/16803338765_05933a64d7_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34225","433","Crotal","","British Museum Collection, 1883.0218.5,See catalogue entry,Purchased from Rev. Earl of Mulgrave.","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard","","See BM Catalogue","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16802252982","https://farm8.staticflickr.com/7620/16802252982_60c626fa30_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34226","433","Crotal","","British Museum Collection, 1854.0714.9,See Catalogue,Purchased by T. L. Cooke","Ireland,County of Offaly,Dowris,Dowris Hoard,Part of a hoard found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: Hollow cast spherical pendant enclosing a small metal lump to serve as a rattle; initially cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for suspension.","see B.M. catalogue","Late Bronze Age (950-750 B.C.)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16802234101","https://farm8.staticflickr.com/7589/16802234101_b479b1850b_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34227","433","Crotal","","British Museum Catalogue, 1883.0218.4,See catalogue,Purchased from Rev. Earl of Mulgrave","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: Hollow cast spherical pendant enclosing a small metal lump to serve as a rattle; [...rably] cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for suspension.","See B.M. catalogue","Late Bronze Age (950 BC - 750 BC)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16802252612","https://farm8.staticflickr.com/7647/16802252612_79e9834bdd_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34228","433","Crotal","","British Museum Collection, 1854.0714.12,See catalogue,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherical pendant, cast ring for suspension. Damage to one side.","See B.M. Catalogue","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16183432263","https://farm9.staticflickr.com/8581/16183432263_7390f54d25_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34229","433","Crotal","","British Museum Collection, 1854.0714.11,See catalogue entry,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherical pendant, cast ring for suspension. Damage to base.","See B.M. Catalogue","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16183432483","https://farm8.staticflickr.com/7597/16183432483_abfe2dd8eb_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34230","433","Crotal","","British Museum Collection, 1854.0714.10,See Catalogue entry,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: Hollow cast spherical pendant, cast ring for suspension.","See B.M. Catalogue","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16615774478","https://farm9.staticflickr.com/8590/16615774478_de68be8ef8_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34231","433","Crotal","","British Museum Collection, 1854.0714.14,See catalogue entry.,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog in the 1820s","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Copper Alloy Crotal, incomplete","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16615774308","https://farm8.staticflickr.com/7615/16615774308_eaf25dea5b_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34232","433","Crotal","","British Museum collection,See catalogue entries.","Ireland,County Offaly,Dowris?,Dowris Hoard?","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","None","","","","","","","","","Copper alloy","Dowris Hoard?","","","Grouped with other index cards from Dowris Hoard, assumed to be one of the crotals in the British Museum's Collection...","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16181008494","https://farm8.staticflickr.com/7288/16181008494_f59f4173d9_m.jpg","superuser",-7.7122,53.2357,"crotals"
"34233","433","Crotal","","British Museum Collections,See Catalogue entries","Ireland,County Offaly,Dowris?,Dowris Hoard?","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard?","","","Grouped with other index cards from Dowris Hoard, assumed to be one of crotals in the British Museum's Collection.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16617221869","https://farm8.staticflickr.com/7618/16617221869_1f6c35bd17_m.jpg","superuser",-7.7122,53.2357,"crotals"
