"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"5161","226","Palstave","I4F","Cartwright Memorial Hall,,, , Bradford Yorks.","england,, yorkshire,, apperly bridge (near),","","54.70235","-3.276575e+00","","None","None","None","160","","","427","Green  - metal showing through in places","","35.5","","Thin, narrow stop-ridge, semi-eliptical ornament below stop-ridge, edges of wings facetted by hammering.","","","","","Elaine Dale","http://farm3.staticflickr.com/2844/12673962625_88ae4842c3_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962625","superuser",-3.2766,54.7024,"drawA9"
"5162","226","Palstave","I1D","Cartwright Memorial Hall,,, , Bradford, Yorks.","england,, yorkshire,, baildon green, near bradford","baildon green, england","53.84336","-1.778815e+00","","None","None","None","152","","","390","dark green","pitted in places","32","","High midrib of semi circular form, splayed sides to blade.","","","","","Elaine Dale","http://farm4.staticflickr.com/3817/12673962315_8bda2d918b_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962315","superuser",-1.7788,53.8434,"drawA9"
"5163","64","PALSTAVE - LOOPED","III10","Bayle Gate Museum Bridlington","yorks barmston cliff nr. bridlington","barmston","54.01740","-2.147640e-01","","None","None","None","","","","383","","","","No dimensions given, sketch actual size. Weight 13.5 ozs","Weathered & pitted","","Moulded Celt","","","Hugh Fiske","http://farm3.staticflickr.com/2892/12674089923_e04669428c_b.jpg","http://www.flickr.com/photos/MicroPasts/12674089923","superuser",-0.2148,54.0174,"drawA9"
"5164","64","Looped Palstave","III3K 1926","Private, , J. R. Wilson Esq., , Broomhead Hall, , Bolsterstone","england, yorkshire, bolsterstone, whitwell moor, field 315 on o.map 183.15, known as stang (or ""stank"") pit field, found when ditching 3 feet deep","bolsterstone","53.47277","-1.623255e+00","","None","None","1912","171","","","425","","dull bronze patina. flecked green","","","","","","","","Hugh Fiske","http://farm3.staticflickr.com/2837/12673961545_f1007c1726_b.jpg","http://www.flickr.com/photos/MicroPasts/12673961545","superuser",-1.6233,53.4728,"drawA9"
"5165","64","Looped Palstave","IIiD","Collection of R. H. Rimington Wilson., , Broomhead Hall, Bolsterstone., , Nr Sheffield","england, yorkshire, bolsterstone, found on whitwell moor, while trenching 3 feet below the surface., 1912","bolsterstone","53.47242","-1.622010e+00","","None","None","1912","166","","","510","","covered with a thick brown & green deposit which has scaled off and left grey colour below.","","","","","","","","Hugh Fiske","http://farm8.staticflickr.com/7407/12673961765_fdba095a98_b.jpg","http://www.flickr.com/photos/MicroPasts/12673961765","superuser",-1.622,53.4724,"drawA9"
"5166","64","PALSTAVE _ LOOPED","IIiC","Scunthorpe Museum: Routledge Collection N.127","east yorkshire, bunny hill, south cliff","hotham carr","53.81226","-6.879890e-01","","None","None","None","164","","","","Patina fairly good","","","","Very prminent stop-ridges. Lozenge shaped sides. Cutting edge still sharp. Prominent medial ridge on blade. ""chisel-end"" slightly broken.","","","","","Hugh Fiske","http://farm4.staticflickr.com/3677/12674442274_4a9cd14caa_b.jpg","http://www.flickr.com/photos/MicroPasts/12674442274","superuser",-0.688,53.8123,"drawA9"
"5167","433","Palstave","II1U","Cartwright Memorial Hall, Bradford, Yorkshire","englang; yorkshire; churwell, near leeds","churwell","53.76131","-1.590844e+00","","None","None","None","178","20","55","558","","","30","Width: edge 55; butt 20","","","Rounded sides; grained ornament below stop-ridge, also on the sides and wings.","","","Joellen mcGann","http://farm4.staticflickr.com/3759/12674441864_f25dbd7995_b.jpg","http://www.flickr.com/photos/MicroPasts/12674441864","superuser",-1.5908,53.7613,"drawA9"
"5168","433","Palstave","I1G","Museum, Leeds Phil and Lit Society","england; yorkshire; churwell, near leeds","churwell, england","53.76131","-1.590844e+00","","None","None","None","147","24","55","","smooth dark green","","24","Width: edge 55; neck 25","","","rounded butt; depression below stop-ridge, with vertical raised midrib descending some distance down blade","","","Joellen mcGann","http://farm8.staticflickr.com/7317/12674088613_3f3b90b068_b.jpg","http://www.flickr.com/photos/MicroPasts/12674088613","superuser",-1.5908,53.7613,"drawA9"
"5169","64","PALSTAVE","IiD","KEIGHLEY MUSEUM, YORKSHIRE., , ACCESSION No. M. 611., , FROM THE COLLECTION OF THE LATE MR. JOHN STELL.","yorkshire., cowling, on the lancashire-yorkshire border, near keighley.","glusburn","53.88470","-2.043426e+00","","None","None","None","130","52","","198","SLIGHT","SMOOTH.","27","Length 5 1/8"", , Width 2 1/16"", , Thickness 1 1/12"", , Weight 7 ozs","BRONZE.","","GROOVINGS ON BLADE AS INDICATED IN DRAWING, BUT VERY POOR ON THE OPPOSITE SIDE TO THAT SHOWN, OWING TO ROUGH CASTING. THERE ARE ONE OR TWO ""BLOW-HOLES"" ON FACE OF AXE, AND PIECE MISSING FROM BLADE EDGE (AS INDICATED).","NIL.","","Hugh Fiske","http://farm4.staticflickr.com/3823/12674088503_519ca4ba65_b.jpg","http://www.flickr.com/photos/MicroPasts/12674088503","superuser",-2.0434,53.8847,"drawA9"
"5170","433","Palstave Looped","III1C","Doncaster Museum","england; yorkshire; doncaster; found during excavations","doncaster, uk","53.52277","-1.133531e+00","","None","None","None","183","40","53","610","green","","33","Width: edge 53; centre to loop 39.5; butt 29, , Thickness: 33; 11","Bronze","Bronze chisel, No. 68 in this series.","In good condition. Strong ridge in centre of blade and moulding lines on edge.","","","Joellen mcGann","http://farm4.staticflickr.com/3790/12674088253_ea5a1834f0_b.jpg","http://www.flickr.com/photos/MicroPasts/12674088253","superuser",-1.1335,53.5228,"drawA9"
