"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"4256","433","Battle Axe","","Private collection, Lord Howard de Walden, 1923, Belgrave Square SW","albania, ioannina 1819","albania","41.00003","19.99996190","","None","None","1819","180","40","73","907","dark blackish green, with golden bronze showing","smooth","27","Site - Ioannina is a city in modern Greece - although Janina was a subregion of the Ottoman Empire that encompassed most of Albania., , Width: edges 72.71; centre 40, , Thickness: 26.5 middle, , Weight: 907.2 gms","","","","","Labelled: Bipennis, or double headed Macedonian Battle Axe, discovered near Ioannina in Albania in 1819. The only known specimen.","Joellen mcGann","http://farm4.staticflickr.com/3723/13306383743_9867ef6027_b.jpg","http://www.flickr.com/photos/MicroPasts/13306383743","superuser",20,41,"drawB8"
"4257","433","Flanged Celt","","Herts County Museum, St. Albans, lent by Capt. J.H. Ball, RAF","austria?, huthanger, kirchahorn","","48.40618","14.37616347","","None","None","None","144","24","28","227","dark green. polished","smooth. clay adheres to septum","8","Site: names under site do not appear to be geographic locations, , Width: edge 28; middle 24; butt 23.5, , Thickness: 7.5; 23.5, , Weight: 226.8 gms","","","","","","Joellen mcGann","http://farm3.staticflickr.com/2889/13306592564_711e132f4a_b.jpg","http://www.flickr.com/photos/MicroPasts/13306592564","superuser",14.3762,48.4062,"drawB8"
"4258","433","Flanged Celt","","Herts County Museum, St. Albans, leant by Capt. J.H. Ball, RAF","austria","austria","47.20003","13.19995900","","None","None","None","103","15","28","128","no patina","pocket and rather rough, dark bronze colour. The pits are rust colour and a good deal of mud covers the surface.","16","Site: unspecified location in Austria - geolocation not accurate to 10 kms, , Width: edge 28; middle 15; butt 24, , Thickness: 15.5; 8, , Weight: 127.56 gms","","","Faceted side","","","Joellen mcGann","http://farm3.staticflickr.com/2852/13306592384_fe309559a3_b.jpg","http://www.flickr.com/photos/MicroPasts/13306592384","superuser",13.2,47.2,"drawB8"
"4259","433","Flanged Celt","","London School of Economics, Houghton Street WL2","bohemia, chaco","","50.85342","14.37616348","","None","None","None","133","26","52","197","covered with patina this is light green in the rough holes, remains of patina very dark brown and thick with green beneath. The thick patina is nearly all chipped off.","very rough","15","Site: Cannot locate Chaco, , Width: edge: 52; middle 25.5; butt 23, , Thickness 15; 8.5; 16; 6, ,","","","A very [dt?] stop. Both sides a good deal filed. Surface very rough, but covered with patina this is light green in the rough holes. remains of patina very dark brown and thick with green beneath. The thick patina is nearly all chipped off.","","","Joellen mcGann","http://farm4.staticflickr.com/3723/13306231545_5acb22ee9b_b.jpg","http://www.flickr.com/photos/MicroPasts/13306231545","superuser",14.3762,50.8534,"drawB8"
"4260","433","Flanged Axes","","Nationalmuseet, Copenhagen","denmark","","56.37038","9.63006972","","None","None","None","","","","","","Decoration is a factor independent of form.","","This is a list of 22 flanged axes studied at the national museum in Copenhagen.  There is additional information about the 22 items available in the ""Description"" box.","All the Flanged Axes in the museum so far analysed have proved to be of COPPER, quite free of tin.","","List of 22 Flanged Axes, 2 main types are represented in the summary lists:, Cf. MLXX(c) Carded full size, Cf. MLXX (b), For keeled flanges see B5155, For bevelled flanges, see B8688., See overleaf, Rounded butt,, Concave sides,, Expanded edge, Linear or ripple decoration frequent., , No., Weight, Hundred (County); Parish; Form; Remarks, , B300; 459; Sjaelland; Horbelev; Ripple lines, , 16201; 521; Falslev; Torkildstrup; flanges flat, , 3151; 386; Maribo A.; [...]; flanges bevelled do slightly, , 7328; 510.5; Provenance unknown; butt damaged, , 8127; 325; Provenance unknown; do., , 9523; 436; Provenance unknown; plain, , B4487; 623; Provenance unknown; plain., , B4481; 708; Provenance unknown; plain, , B9389; 110.5; Provenance unknown; plain; corroded, , B7838; 215; Provenance unknown; plain, , B9818; 432.5; Borglum; Bronderslev; Plain, corroded, , B3370; 268; Ramso; Ejby; Plain, badly corroded, , B7838; 214; Provenance unknown; Plain, , B465; 475; Provenance unknown; flanges very slight, , ?; 605; Provenance unknown; with lines badly corroded, butt damaged, , 26066; 493; Provenance unknown; Butt almost square, , ?; 364; Provenance unknown; Butt almost square, , 26059; 401.5; Provenance unknown; Butt rounded, , B4486; 709; Provenance unknown; Deep flanges, line decoration, , ?; 365; Provenance unknown; do., , 26051; 403; Jylland; Lyngby; Flanges shallower., , ?; 617; Frederiksborg; Brandtant; flanges deep, , , ,","","","Joellen mcGann","http://farm4.staticflickr.com/3717/13306231375_0677755444_b.jpg","http://www.flickr.com/photos/MicroPasts/13306231375","superuser",9.6301,56.3704,"drawB8"
"4261","433","Flanged Axes","","Nationalmuseet, Copenhagen","denmark","","56.61298","9.36639785","","None","None","None","","","","","","","","Card is composite list of 22 flanged axes from the National Museum in Copenhagen.  Details for the 22 items are listed under ""Description""","","","Butt squarish., Sides straight or only slightly concave., Edge moderately expanded., , No; Weight; Hundred; Parish; Form; Remarks, , 26066; 493.5; Provenance unknown; Lines on face. , , B4487; 623; Provenance unknown; No lines., , B465; 476; Provenance unknown; Lines: butt damaged., , 9523; 436; Provenance unknown; No lines., , 8127; 325; Provenance unknown; Lines in two bands., , B704; 944; Bornholm; Aalber [Aalborg?]; No lines; butt damaged., , B494; 849; Sjaelland; Ebbelnord [?]; Lines; butt damaged., , B3143; 370;  Provenance unknown; Corroded., , B6816; 450; Ame [?]; Tommerup; Corroded., , B3484; 552; Vester Flokkebjerg; Tjaereby; Corroded., , B10789; 631; Provenance unknown; Corroded, very., , 16823; 677; Kalundborg; Corroded on surface; reverse triangle design, damaged., , B10790; 614; Provenance unknown; Ripple decoration., , ?; 109; Provenance unknown; flange [...], , B3888(a); 419; Stovring;Harridslev; too badly corroded for description., , B3888 (b); 617.5; Stovring; Harridslev; Too badly corroded for description., , B3888 (c); 908; Stovring; Harridslev; Well preserved, line decoration., , B3888 (f); 452; Stovring; Harridslev; Decayed, markedly [...] Flange slight., , B3888 (g); 271; Stovring;Harridslev; Decayed, markedly [...] Flanges slight., , 4558; 557; Selahandal [?]; No decription given., , 6428; 436; Provenance unknown; No description given., , B10153; 92; Ars; Svallerup; No description given.","","Note: B3888 (d) and (e) are carded full size","Joellen mcGann","http://farm4.staticflickr.com/3799/13306592174_b370d8bcc6_b.jpg","http://www.flickr.com/photos/MicroPasts/13306592174","superuser",9.3664,56.613,"drawB8"
"4262","433","Flanged Axe","","Nationalmuseet, Copenhagen, No. 26063","denmark; flenstofte, fyn","fyn, denmark","55.34233","10.23658214","","None","None","None","110","25","79","426","","","14","Width: butt 25; edge 79","","","Thick butt, almost square. Axe heavy for its size. Plain flanges. Decoration of hatched and plain triangles in 4 rows, uppermost partially weathered between 4 obliquely hatched bands. Heavy engraving, somewhat crude execution.","","","Joellen mcGann","http://farm8.staticflickr.com/7021/13306591724_294d81d35a_b.jpg","http://www.flickr.com/photos/MicroPasts/13306591724","superuser",10.2366,55.3423,"drawB8"
"4263","433","Flanged Axe","","Nationalmuseet, Copenhagen, No. B 3647","denmark; jutland; hjorring; astrup","astrup, denmark","55.08717","10.33520120","","None","None","None","249","39","115","1253","Copper shines through in places on upper face.","Very well preserved, but underside not so fresh.","18","Width: below butt 39; edge 115.","","","Cutting edge sharp. Fairly deep plain flanges. Decorated band of hatched alternate triangles over 79 engraved lines.","","","Joellen mcGann","http://farm3.staticflickr.com/2850/13306382443_e437ff5f26_b.jpg","http://www.flickr.com/photos/MicroPasts/13306382443","superuser",10.3352,55.0872,"drawB8"
"4264","433","Flanged Axe","","Nationalmuseet, Copenhagen, No. B8688","denmark, norvang, grejs","grejs, denmark","55.76292","9.54677792","","None","None","None","154","30","64","385","Lustrous green.","","16","Site: Appears to be Grejs and not Geve in Norvang., , Width: below butt 30; edge 64, , Thickness: 15.5","","","Flanges bevelled - cutting edge damaged. 6 lines on lower part of face produced by slight facets.","","","Joellen mcGann","http://farm4.staticflickr.com/3729/13306591464_aed273632c_b.jpg","http://www.flickr.com/photos/MicroPasts/13306591464","superuser",9.5468,55.7629,"drawB8"
"4265","433","Flanged Axe","","Nationalmuseet, Copenhagen, No. 26067","denmark, jutland, aalborg","aalborg, denmark","57.04822","9.91939390","","None","None","None","188","33","83","794","","","","Width: edge (recorded as 82.5, drawn as 84); below butt 33, 30; Depth of flanges 18.75","","","","","","Joellen mcGann","http://farm8.staticflickr.com/7376/13306591334_b38d8d67bc_b.jpg","http://www.flickr.com/photos/MicroPasts/13306591334","superuser",9.9194,57.0482,"drawB8"
