"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"26245","433","Spear Ferrule","I","Private Collection,1923,P. Waterhouse,Yattendon Court","England,Berkshire,Yattendon,Yattendon Court,In digging foundations of house,1878","Yattendon Court, Yattendon, Thatcham, West Berkshire RG18 0UT, UK","51.47201039999999","-1.1910648000000492","","None","None","1878","66","27","","28","Dark green patina, mud stained","Pitted slightly in places","","Weight: 28.35 gms","","Part of a hoard of 60 pieces.","","Proc. Soc. Ant. (2nd S.) VII, 480,Evans, A.B. Implements,VCH Berks, i.","","Joellen mcGann","https://farm8.staticflickr.com/7523/15705591787_048094e83f_b.jpg","https://www.flickr.com/photos/MicroPasts/15705591787","superuser",-1.1911,51.472,"ferrulesA2"
"26246","433","Ferrule (Frag)","","Museum of Archaeology + Ethnology, Cambridge, 31.393","England,Cambridge,Green End Road,Chesterton","Green End Road, Cambridge, Cambridge CB4 1RN, UK","52.2230698","0.1483915999999681","","None","None","None","","","","","","","","","","Green End Road hoard","","VCH, I, 278,PCAS, XXXII, 59","","Joellen mcGann","https://farm8.staticflickr.com/7494/15269096374_c6776085ae_b.jpg","https://www.flickr.com/photos/MicroPasts/15269096374","superuser",0.1484,52.2231,"ferrulesA2"
"26248","433","Ferrule Fragment","","Museum of Archaeology + Ethnology, Cambridge,Purchased by the Cambridge Antiquarian Society, April 1919,1919.6","England,Cambridgeshire,Wilburton,In fen land belonging to Mr. Oliver Claude Pell,1882","Wilburton, Cambridgeshire, UK","52.352064","0.1766450000000077","","None","None","1882","93","15","","29","Green and grey patina.","Rough","","","","The Wilburton Hoard","Point broken off. 2 Rivet holes.","Archaeologia, xlviii, 106,New Cambridge 17 May 1919","","Joellen mcGann","https://farm8.staticflickr.com/7504/15705591757_6f002bddf2_b.jpg","https://www.flickr.com/photos/MicroPasts/15705591757","superuser",0.1766,52.3521,"ferrulesA2"
"26250","433","Ferrule","IVB","Museum of Archaeology, Cambridge,Purchased by the Cambridge Antiquarian Society, April 1919,1919.6","England,Cambridgeshire,Wilburton,In fen land belonging to Mr. Oliver Claude Pell,1882","Wilburton, Cambridgeshire, UK","52.352064","0.1766450000000077","","None","None","1882","238","14","","36","Several shades of dull brown patina","Slightly rough","15","Width: 14mm to 17mm,Thickness: 15mm and under,Weight: 36 gms; 61 gms","","The Wilburton Hoard","Point fused off. Broken in two. 2 Rivet holes.","Archaeologia, XLVIII, 106,New Cambridge, 17 May 1919","","Joellen mcGann","https://farm8.staticflickr.com/7564/15865546546_1c795123f2_b.jpg","https://www.flickr.com/photos/MicroPasts/15865546546","superuser",0.1766,52.3521,"ferrulesA2"
"26252","433","Ferrule","IVB","Museum of Archaeology + Ethnology, Cambridge,Purchased by the Cambridge Antiquarian Society, April 1919","England,Cambridgeshire,Wilburton,In fen land belonging to Mr. Oliver Claude Pell,1882","Wilburton, Cambridgeshire, UK","52.352064","0.1766450000000077","","None","None","1882","43","13","","18","A. Dual colour; B. Light grey; except for patch of dull black, down one side.","A. Corroded and rough.; B. Smooth and shiny","","Length: A. 43mm; B. 121mm,Width: A. 13mm (widest part); B. 15mm,Weight: A. 18 gms; B. 65 gms","","The Wilburton Hoard","A. Point of ferrule. B. Point broken off at the 2 Rivet holes.","Archaeologia, XLVIII, 106,New Cambridge, 17 May 1919","","Joellen mcGann","https://farm9.staticflickr.com/8618/15705591587_c0d3fc6539_b.jpg","https://www.flickr.com/photos/MicroPasts/15705591587","superuser",0.1766,52.3521,"ferrulesA2"
"26253","433","Ferrule","IVB","Museum of Archaeology + Ethnology, Cambridge,Purchased by the Cambridge Antiquarian Society, April 1919,1919.6","England,Cambridgeshire,Wilburton,In fen land belonging to Mr. Oliver Claude Pell,1882","Wilburton, Cambridgeshire, UK","52.352064","0.1766450000000077","","None","None","1882","237","16","","84","Dull grey and brown patina.","Smooth","15","Width: 15.5mm; 17mm","","The Wilburton Hoard","Point broken off. Two rivet holes half way up.","Mentioned in Archaeologica, Vol. XLVIII,New Cambridge, 17 May 1919","","Joellen mcGann","https://farm8.staticflickr.com/7526/15704065580_d58e86a6cd_b.jpg","https://www.flickr.com/photos/MicroPasts/15704065580","superuser",0.1766,52.3521,"ferrulesA2"
"26255","433","Ferrule","C","Museum of Archaeology + Ethnology, Cambridge,Purchased by the Cambridge Antiquarian Society, April 1919,1919.6","England,Cambridgeshire,Wilburton,In fen land belonging to Mr. Oliver Claude Pell,1882","Wilburton, Cambridgeshire, UK","52.352064","0.1766450000000077","","None","None","1882","66","20","28","36","Dull brown patina all over","Slightly pitted","","Length: 65.5mm,Width: 27.5mm; 19.5mm socket","","The Wilburton Hoard","Spherical end. Ornamented on the cylinder with 2 bands of 4 grooves. 2 rivet holes. Hollow throughout. Single casting.","Archaeologia, ALVIII, 106.,New Cambridge, 17 May 1919","","Joellen mcGann","https://farm9.staticflickr.com/8659/15705324459_cb7fd9fb9d_b.jpg","https://www.flickr.com/photos/MicroPasts/15705324459","superuser",0.1766,52.3521,"ferrulesA2"
"26257","64","FERRULE","C","Museum of Archaeology & Ethnology, Cambridge,Purchased by the Cambridge Antiquarian Society, April 1919.,1919.6","England,Cambridgeshire,Wilburton,In fen-land belonging to Mr Oliver Claude Pell.,1882","Wilburton, Cambridgeshire, UK","52.352064","0.1766450000000077","","None","None","1882","40","27,socket 17","","18","","","","","","The Wilburton Hoard","Spheroidal end ornamented with a series of concentric grooves round its centre. Broken at rivet holes. Hollow throughout.","Archaeologia xlviii 106.,New Cambridge 17 May 1919","","Hugh Fiske","https://farm8.staticflickr.com/7567/15704065410_db526e4bb3_b.jpg","https://www.flickr.com/photos/MicroPasts/15704065410","superuser",0.1766,52.3521,"ferrulesA2"
"26259","64","Ferrule","IVA","Museum of Archaeology & Ethnology, Cambridge,Purchased by the Cambridge Antiquarian Society, April 1919.,1919.6","England,Cambridgeshire,Wilburton,In fen land belonging to Mr Oliver Claude Pell,1882","Wilburton, Cambridgeshire, UK","52.352064","0.1766450000000077","","None","None","1882","110","13,19.5","","47","Dark brown & mostly bright shiny copper","rough","","","","The Wilburton Hoard","Complete & unbroken. 2 Rivet holes. Hollow right up to tip.","Mentioned in Archaeologia Vol XLVIII 106.,New Cambridge 17 May 1919","","Hugh Fiske","https://farm9.staticflickr.com/8658/15705324239_a041773e1f_b.jpg","https://www.flickr.com/photos/MicroPasts/15705324239","superuser",0.1766,52.3521,"ferrulesA2"
"26260","64","FERRULE","Hollow throughout? yes,Single casting? yes,C","Museum of Archaeology & Ethnology, Cambridge,Purchased by the Cambridge Antiquarian Society, April 1919.,1919.6","England,Cambridgeshire,Wilburton,In fen land belonging to Mr Oliver Claude Pell,1882","Wilburton, Cambridgeshire, UK","52.352064","0.1766450000000077","","None","None","1882","52","24,socket 19","","32","","dull even black","","","","The Wilburton Hoard","Spheroidal end. Ornamented by 2 parallel grooves round socket, & 3 round upper part of bulb. The bottom which is a segment of a sphere has at the margin 2 concentric bands, hatched with lines in the outer ring to the right & in the inner to the left. 2 Rivet holes. Hollow throughout. Single casting.","Archaeologia Vol XLVIII 106.,New Cambridge 17 May 1919","","Hugh Fiske","https://farm8.staticflickr.com/7535/15889369601_5fe4681409_b.jpg","https://www.flickr.com/photos/MicroPasts/15889369601","superuser",0.1766,52.3521,"ferrulesA2"
"26262","64","Ferrule","VA","Museum of Archaeology, Cambridge,(Deck Collection)","England,? Cambridgeshire,Exact site unknown","","52.352064","0.1766450000000077","","None","None","None","40","of base 28.5","","19","dust coloured metal showing through very slightly","smooth but dull","","","","","Expanding to a base which is concave. Top broken.","Cambridge Antiquarian Society Catalogue 159. 1884","Like an object in the Marden hoard (Kent)","Hugh Fiske","https://farm8.staticflickr.com/7526/15889369111_53abc6d7d9_b.jpg","https://www.flickr.com/photos/MicroPasts/15889369111","superuser",0.1766,52.3521,"ferrulesA2"
"26264","64","Ferrule","C,VA","Manchester Museum,loaned by Congleton Corpn.","England,Cheshire,Congleton,Oct 1925","Congleton, Congleton, Cheshire East CW12, UK","53.162856","-2.218923000000018","","None","10","1925","","","","","","","","","","Part of a hoard:- 2 spearheads, 2 ferrules, 1 socketed celt","The stopped end is slightly concave, with small process in centre.","","","Hugh Fiske","https://farm9.staticflickr.com/8597/15705323829_a2dc799b95_b.jpg","https://www.flickr.com/photos/MicroPasts/15705323829","superuser",-2.2189,53.1629,"ferrulesA2"
