"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"11040","64","PALSTAVE - CHISEL","A3","REYNOLDS, Mr. - private,'Six Acres', Ivinghoe Aston, Bucks","BUCKINGHAMSHIRE,IVINGHOE,IVINGHOE ASTON,'SIX ACRES',Circumstances: found July/Aug 1976 by Mr. Reynolds in topsoil removed to make the front drive of 'Six Acres' bungalow - adjacent to Beacon Farm;","2 Ashbys Villas, Ivinghoe Aston, Leighton Buzzard, Buckinghamshire LU7 9DH, UK","51.85277182785752","-0.6166860263672334","SP 9535 1805","None","None","1976","","","","","","","","Modern card, fields do not match data entry template., ,","Cu 86, Pb 0.3, Su 12.4, Ag 0.025, Fe 0.04, Sb 0.005, Ni 0.18, As 0.2, Bi 0.01, Co 0.01, Au, Cd, Mr, Zn - nd.","Context: 8. SINGLE","","Bibliog: Farley, 1978, 675 fig. 1 left","Metallurgy Analyst: Craddock - B.M. Res. Lab.,Sub. Inf. Mike Farley, Bucks Co. Mus. 20.10.78","Hugh Fiske","https://farm6.staticflickr.com/5586/14884612989_6c821e2da8_b.jpg","https://www.flickr.com/photos/MicroPasts/14884612989","superuser",-0.6167,51.8528,"flangedchiselsA1"
"11041","64","Bronze Palstave Chicel,Axe-like","A3","British Museum 65.4-18.3","CAMBRIDGESHIRE,,Burwell Fen","Reach Road, Cambridge, Cambridgeshire CB25 0GH, UK","52.26946803252533","0.3144065495605446","TL 58 66","None","None","None","122","Butt 20, Blade 32","","140","black","Rough. Incrusted.","19","","Bronze","","much corroded. butt, blade & one side much broken","","","Hugh Fiske","https://farm6.staticflickr.com/5564/15071316355_a5b6146384_b.jpg","https://www.flickr.com/photos/MicroPasts/15071316355","superuser",0.3144,52.2695,"flangedchiselsA1"
"11042",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm4.staticflickr.com/3856/15068288681_3f4351c964_b.jpg",,"merged",,,"flangedchiselsA1"
"11043",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm6.staticflickr.com/5594/15068288641_651481af34_b.jpg",,"merged",,,"flangedchiselsA1"
"11044",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm4.staticflickr.com/3922/15048311786_b8cd50ffb1_b.jpg",,"merged",,,"flangedchiselsA1"
"11045",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm6.staticflickr.com/5584/14884716228_6ce893a397_b.jpg",,"merged",,,"flangedchiselsA1"
"11046","433","Palstave Chisel Axe-Like","","Society of antiquaries,(No. 6),Burlington House W.,Dr. Roots Collection","England,Greater London,Kingston,several feet under gravel + resting nearly 2 ft in blue clay.","Kingston upon Thames, Greater London, UK","51.41233","-0.30068900000003396","","None","None","None","121","22","31","156","Very slt patina, rust colour inside sockets + remains of whitish earth.","Smooth dark brown bronze colour","20","Width: edge 31mm; centre 21.5mm; butt 19mm,Thickness: 19.5mm; 3.5mm,Weight: 155.92 gms","","Close to spot where other implements were found.","Well preserved + a sharp edge.","","Width: edge 31mm; centre 21.5mm; butt 19mm,Thickness: 19.5mm; 3.5mm,Weight: 155.92 gms","Joellen mcGann","https://farm6.staticflickr.com/5566/14884612849_f5a4073515_b.jpg","https://www.flickr.com/photos/MicroPasts/14884612849","superuser",-0.3007,51.4123,"flangedchiselsA1"
"11047","433","Palstave Chisel","A3","Wisbech Museum","England,Huntingdonshire (Cambridgeshire),Ramsey Fen","Ramsey, Cambridgeshire, UK","52.4503619","-0.10846549999996569","","None","None","None","168","18","18","213","No patina","Rough dark green + light brass in patches.","16","Width: edge 17.5mm; middle 20.5mm; butt 18mm,Thickness: 15.5mm; 3mm; 18mm,Weight: 212.61 gms","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5557/14884612779_4c8ba4a3c0_b.jpg","https://www.flickr.com/photos/MicroPasts/14884612779","superuser",-0.1085,52.4504,"flangedchiselsA1"
"11048","433","Flanged Chisel","A3","Skipton, The Craven Museum","England,Lancashire,(Yorkshire West Riding),Barnoldswick,Causeway Carr,Found Jan. 1980 in a field known as Causeway Carr, by Mr. Hirst, 3 Sackville Street, Barnoldswick, just below the surface of the field, using a metal detector (DF).","Barnoldswick, Barnoldswick, Lancashire BB18, UK","53.91301499999999","-2.1869179999999915","SD 8721 4605","None","1","1980","","","","","","","","","","8a. Single Find","","","PRBAF: DF (S); SI,Ext. CI,Rec.: SN March 80,Source: SB. I,Sub. Inf. David Williams, Craven Museum 28/2/80","Joellen mcGann","https://farm6.staticflickr.com/5580/14884670240_2f629f60b6_b.jpg","https://www.flickr.com/photos/MicroPasts/14884670240","superuser",-2.1869,53.913,"flangedchiselsA1"
"11049","433","Haft-Flanged Chisel","A3","London, British Museum, 52.4-3.5","England,Norfolk,Barton Bendish","Barton Bendish, King's Lynn, Norfolk PE33, UK","52.6214299","0.5285169999999653","","None","None","None","105","31","","","","Hammering extensive on two sides as far down as the incurve.","","","","","","","MJR","Joellen mcGann","https://farm4.staticflickr.com/3875/15048311536_01faa0da10_b.jpg","https://www.flickr.com/photos/MicroPasts/15048311536","superuser",0.5285,52.6214,"flangedchiselsA1"
