"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"37731","580","Spearhead IV","E","Herts Cty. Mus., St Albans.,Ball Collection","Ireland,Co Antrim,Ballymena","Ballymena, Ballymena, Ballymena BT43, Royaume-Uni","54.86537999999999","-6.2803800000000365","","None","None","None","142","blade 32.5; socket 18.5","","99.22","dark brown matt.","smooth","blade 10; socket 18","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17140339436","https://farm8.staticflickr.com/7636/17140339436_a33e8c4dc7_m.jpg","superuser",-6.2804,54.8654,"irishB15"
"37732","580","Spear-head III","III","Cheltenham Museum,Bushnell Collection","Ireladn,Antrim,Larne (near)?,Label: One of ""Three bronze spearheads found in Ireland, the smalle ones near Larne"",This is the largest one.","Antrim, Antrim, District d'Antrim BT41, Royaume-Uni","54.7195338","-6.2072498","","None","None","None","110","47","","71","no patina","Plain bronze sand smooth","","","Bronze","","","","Nothing more known","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17140339356","https://farm8.staticflickr.com/7678/17140339356_9f2f6553cb_m.jpg","superuser",-6.2072,54.7195,"irishB15"
"37733","580","Spear-head III","E","Cheltenham Museum,Bushnelle Collection","Ireland,Antrim,Larne (near),One of ""Three bronze spearheads found in Ireland, the two smaller ones near Larne"",This is one of the smaller ones.","Larne, Larne, District de Larne BT40, Royaume-Uni","54.85749999999999","-5.809859999999958","","None","None","None","91","22","","33","Slight light green patination.","smooth","","","Bronze","","","","Nothing further known","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17164644162","https://farm9.staticflickr.com/8794/17164644162_632b207aa1_m.jpg","superuser",-5.8099,54.8575,"irishB15"
"37734","580","Spearhead III","","Private Collection,Professor Sir Lucas White-King CSI, LLD, FSA., late of Roebuck Hall, Co Dublin.,Sold by Auction at Sotheby's. 9. 11. 21. Lot 143.","Irealdn,Co Antrim","District d'Antrim, Royaume-Uni","54.666248","-6.286465899999939","","None","None","None","102","blade 41; socket 20","","","very dark green","rough  -encrusted on one side of socket.","blade 11.5; socket 18; 3","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17166256115","https://farm8.staticflickr.com/7720/17166256115_321559c2e1_m.jpg","superuser",-6.2865,54.6662,"irishB15"
"37735","580","Spearhead III","E","Sotheby's Sale. 19. 11. 24. 636,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Antrim","Antrim, Antrim, District d'Antrim BT41, Royaume-Uni","54.7195338","-6.2072498","","None","None","None","92","blade 30.5; socket 18","","","","dull golden bronze. very smooth & clean looking.","blade rib 2 (approx.); socket 17.5","","","","Some doubts as to its genuineness","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17166255755","https://farm9.staticflickr.com/8701/17166255755_f3f5cc51eb_m.jpg","superuser",-6.2072,54.7195,"irishB15"
"37736","580","Spearhead III","E","Sotheby's Sale, 19. 11. 24. 637,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena","Ireland,Antrim","Antrim, Antrim, District d'Antrim BT41, Royaume-Uni","54.7195338","-6.2072498","","None","None","None","93","blade 30.5; socket 16.5","","","traces of patina, light green. darker along socket.","pitted. cleaned golden bronze.","blade 12; socket 16.5","","","","Sharp edges. Indented marks on socket; the edge of socket is bevelled. 2 small rivet holes.","","Lops replaced by two holes.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16958866437","https://farm9.staticflickr.com/8780/16958866437_1d56856d3d_m.jpg","superuser",-6.2072,54.7195,"irishB15"
"37737","580","Spearhead III","E","Sotheby's Sale, 19. 11. 24. 638.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Antrim","Antrim, Antrim, District d'Antrim BT41, Royaume-Uni","54.7195338","-6.2072498","","None","None","None","67.5","blade 25; socket 17.5","","","remains of dark green patina.","smooth","blade 12; socket 18","","","","blade damaged, other side.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16543848854","https://farm9.staticflickr.com/8689/16543848854_2609029ab7_m.jpg","superuser",-6.2072,54.7195,"irishB15"
"37738","580","Spearhead III","E","Sotheby's Sale, 19. 11. 24. 639.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Antrim","Antrim, Antrim, District d'Antrim BT41, Royaume-Uni","54.7195338","-6.2072498","","None","None","None","82.5","25; socket 15","","","no patina","very finely pitted. Brozne & golden bronze.","blade 9; socket 17","","","","Sharp edges. Socket edge is thin & sharp.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16978728030","https://farm8.staticflickr.com/7596/16978728030_ea01b5e32a_m.jpg","superuser",-6.2072,54.7195,"irishB15"
"37739","580","Spearhead III","E","Sotheby's Sale, 19. 11. 24. 640.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Co Antrim","District d'Antrim, Royaume-Uni","54.666248","-6.286465899999939","","None","None","None","118","blade 31.5; socket 20","","","no patina","smooth. dark brown bronze","blade 14; socket 19.5","","","","Sharp edges","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16958866057","https://farm9.staticflickr.com/8752/16958866057_a34e4ef4aa_m.jpg","superuser",-6.2865,54.6662,"irishB15"
"37740","580","Spearhead III","E","Sotheby's Sale, 19. 11. 24. 648.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Co Antrim","District d'Antrim, Royaume-Uni","54.666248","-6.286465899999939","","None","None","None","49.5","blade 19; socket 16","","","patina remains in patches of thick dark green","smooth. cleaned partly golden bronze, & reddish bronze.","blade 12.25; socket 15.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16546100993","https://farm9.staticflickr.com/8789/16546100993_eae8903aa5_m.jpg","superuser",-6.2865,54.6662,"irishB15"
