"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"15341","64","12 Copper Cake frags.","","LONDON, British Museum,WG 2163-2174","EAST SUSSEX,Lewes","Lewes, Lewes, East Sussex, UK","50.87387200000001","0.008780000000001564","","None","None","None","","","","","","","","","","","","","See new index,C1","Hugh Fiske","https://farm6.staticflickr.com/5608/15413819409_efc5ae743d_b.jpg","https://www.flickr.com/photos/MicroPasts/15413819409","superuser",0.0088,50.8739,"miscellaneous"
"15342","64","CAKE frag.","","LONDON, British Museum, 1933.4-6.127","EAST SUSSEX,Seaford,Sutton,Dug up in 1922","Seaford, East Sussex, UK","50.7734669","0.10110800000006748","TV 49 99","None","None","1922","61","45","","","","greeny-black","25","","","","","","C1","Hugh Fiske","https://farm4.staticflickr.com/3939/14980278853_2a5f8ccd37_b.jpg","https://www.flickr.com/photos/MicroPasts/14980278853","only good record",0.1011,50.7735,"miscellaneous"
"15343","64","AXE BLADE FRAGMENT - probably Flanged axe.","","GODFREY, Mrs P. - private,50 Woodvale Ave, South Norwood,London SE 25","UNPROVENANCED","","50.7734669","0.10110800000006748","","None","None","None","EL 36.5; We 45.5; EBfg. 10.6; Te.bev. 7.7; De.bev. 17.0; EHfg. 0.8","","","","","rough textured, gold with much pale green - including break,almost certainly stripped","","Modern card, fields do not match data entry template","","","Typology: prob. near straight e.bev.; v. faint hint of a cable on one side,Manufacture: no bl. tip hollows,Condition: edge more of less intact","","","Hugh Fiske","https://farm4.staticflickr.com/3938/15576764616_b06eff9625_b.jpg","https://www.flickr.com/photos/MicroPasts/15576764616","superuser",0.1011,50.7735,"miscellaneous"
"15344","433","Axe Blade","J2","London, Society of Antiquaries Collection, B63","Unprovenanced","",,,"","None","None","None","38","","56","","","Varied dull-pale greens - dry sur.","","","Anal.?","","Dimensions: EL 37.6mm; EWe 56.0,Manufacture: hints in break of longl. division in structure - valves?; stumps of cg. fl.,Condition: part of e. broken in ant. as is main break; rest of the e. blunt - poss. corr. dam.; battering of one face - prob. anc.; modern but out of one corner for anal.?","","Labels/Markings: White ink inscr. 'B63',Arvhice PIF,PRBAF: DF (C); SI,Ext.: CI,Rec.: SN Feb 79,Source: MV","Joellen mcGann","https://farm6.staticflickr.com/5602/15414442687_52518956cd_b.jpg","https://www.flickr.com/photos/MicroPasts/15414442687","superuser",,,"miscellaneous"
"15345","433","Winged Axe Fragment","A5","Aylesbury, Bucks. Co. Museum, 15.54","Unprov.","",,,"","None","None","None","74","","","","","Badly corroded.","","","","","","","ND 74","Joellen mcGann","https://farm4.staticflickr.com/3944/15414838870_eb9d909dd5_b.jpg","https://www.flickr.com/photos/MicroPasts/15414838870","superuser",,,"miscellaneous"
"15346","433","Winged Celt","A5","Canterbury Museum, 2067,Copeland Collection","","",,,"","None","None","None","68","24","","137","Dark and medium green patina","Smooth. Traces of light coloured earth nearly all over.","7","Width: middle 24mm; butt 23mm,Thickness: 7mm; 4.5mm; 8mm","","","","","","Joellen mcGann","https://farm4.staticflickr.com/3938/15413819009_83c389a957_b.jpg","https://www.flickr.com/photos/MicroPasts/15413819009","superuser",,,"miscellaneous"
"15347","433","Fragment of ?Flanged Celt","A5","Newcastle-upon-Tyne,Black Gate Museum, No. 23","Locality unknown","",,,"","None","None","None","55","24","54","103","","","12","Width: c. 24mm; e 54mm","","A fragment has been No. 6.","","","","Joellen mcGann","https://farm4.staticflickr.com/3940/15413818909_674a35fd7e_b.jpg","https://www.flickr.com/photos/MicroPasts/15413818909","superuser",,,"miscellaneous"
"15348","433","Ingot/Anvil","","British Museum, 54.12-27.53","No prov.","",,,"","None","None","None","","","","","","","","","","","","","CI","Joellen mcGann","https://farm6.staticflickr.com/5608/14980278303_a9fc5f6995_b.jpg","https://www.flickr.com/photos/MicroPasts/14980278303","superuser",,,"miscellaneous"
"15349","433","Axe/Chisel Blade Fragment Narrow","","Borough of Newbury Museum, Museum No. OA 266 (old Cat. I.63)","England,Berkshire,Nr. Newbury","Newbury, West Berkshire, UK","51.401409","-1.323113899999953","","None","None","None","80","","","","Dark green. Apparently no active corrosion. Metal appears stable.","Rough","","","","","Palstave, part of.","Trans. Newbury District Field Club, VIII, No. 1, 1938,V.C.H. Berks., I, 195.","Blade of palstave with head broken off. Has been used as a chisel or wedge.","Joellen mcGann","https://farm6.staticflickr.com/5610/14980278253_2b7ebc78d5_b.jpg","https://www.flickr.com/photos/MicroPasts/14980278253","superuser",-1.3231,51.4014,"miscellaneous"
"15350","433","Palstavre Chisel","","Borough of Newbury Museum,I.63 (Old Catalogue),Given by Mr. J. W. Roake before 1854","England,Berkshire,Newbury,The neighborhood of,Exact site uncertain","Newbury, West Berkshire, UK","51.401409","-1.323113899999953","","None","None","None","81","17","26","","","The surface is worn and pitted.","15","Thickness: Butt 14.5mm","","","It has not been analysed. It appears to be the blade of a palstave, with the head broken off, it has been used as a chisel or wedge.","L'Anthropologie, T.XXIV. (1913), 644","","Joellen mcGann","https://farm6.staticflickr.com/5608/15597775281_82b4bafeca_b.jpg","https://www.flickr.com/photos/MicroPasts/15597775281","superuser",-1.3231,51.4014,"miscellaneous"
"15351","433","Collar Joint","I","Private Collection,1923,P. Waterhouse,Yattendon Court","England,Berkshire,Yattendon Court,In digging foundations of house,1878","Yattendon Court, Yattendon, Thatcham, West Berkshire RG18 0UT, UK","51.47201039999999","-1.1910648000000492","","None","None","1878","","62","","32","Green patina much mud stained","","13","Weight: 31.89 gms","","Part of a hoard of 60 pieces.","","Proc. Soc. Ant. (2nd Ser), VII, 480,Evans A. B. Imps,V.C.H. Berks, i.","","Joellen mcGann","https://farm6.staticflickr.com/5608/15413818479_5f358ce87f_b.jpg","https://www.flickr.com/photos/MicroPasts/15413818479","superuser",-1.1911,51.472,"miscellaneous"
"15352","433","Copper Cakes 3","I","British Museum,1981.10-19.7,Purchased from G. F. Lawrence Esq., 7 West Hill, Wandsworth, SW 18","England,Berkshire,Bray-on-Thames","Bray, Maidenhead, Windsor and Maidenhead SL6, UK","51.50765980000001","-0.7017342999999983","SU 90 79","None","None","None","","","","153","","","","CI","","Found with 3 socketed axes, 1 winged axe, fragment of socketed axe, socketed knife, and spear-head.","Weights: 153 gms; 203 gms; 154 gms","","","Joellen mcGann","https://farm4.staticflickr.com/3936/14980277983_ceb59e5af9_b.jpg","https://www.flickr.com/photos/MicroPasts/14980277983","superuser",-0.7017,51.5077,"miscellaneous"
"15353","433","Cake Fragment","","London, British Museum, 53.6-17.46","England,Cambridgeshire,Morden, Guilden or Steeple?","Morden, Greater London, UK","51.394943","-0.19445999999993546","TL 29 42","None","None","None","102","72","","","","","16","","","","","","CI","Joellen mcGann","https://farm4.staticflickr.com/3950/15601272122_7de9c85edb_b.jpg","https://www.flickr.com/photos/MicroPasts/15601272122","superuser",-0.1945,51.3949,"miscellaneous"
"15354","433","Edge of Axe (Not Palstave)","Fragment","Lukis Museum, Guernsey","Channel Islands,Sark,Found in a large mass of ashes in a pit 3 feet deep in Sark, 1845.","Sark,","49.4301912","-2.3609033999999838","","None","None","1825","25","","47","54","Yellow green. More green on one side.","Slightly pitted.","14","","","Three round cup marked stones were discovered with it.","Edge sharpened but very worn.","","","Joellen mcGann","https://farm4.staticflickr.com/3947/15597775041_76fdd9664c_b.jpg","https://www.flickr.com/photos/MicroPasts/15597775041","superuser",-2.3609,49.4302,"miscellaneous"
"15355","433","Bronze Fitting for ""Standard""","","London, British Museum, 1951.11-2.23","England,Derbyshire,Longstone (near Bakewell),In garden: early in 1910,Found by son of present (1935) owner.","Great Longstone, Bakewell, Derbyshire DE45, UK","53.2438239","-1.7012789999999995","","None","None","1910","126","45","","181","Dark green patina. Part of the socket, including its base has been scraped and here shows golden-bronze.","Smooth, except for a small part on one side of the socket which is filled.","27","Width: 45mm at base of plates; 17mm at top of socket; 26mm at base of socket,Thickness: 27mm at top of plates; 14mm at top of socket; 26mm at base of socket","","None","Socketed object terminating in 2 triangular plates, slightly spaced and each with two perforations, intended to hold save missing object (? a flat piece of metal). This is the best-made of the three such objects known, the triangular blades having bevelled edges, and two well-made rivet-holes. At the base of the socket on rivet hole, which does not appear on the other side.","Derbyshire Archaeological and Nat. Hist. Soc. Journal, Vol. 32, 219,Antiquaries Journal, Oct. 1935","Compare similar objects from St. Leonard's, in Hastings Museum, which was found with 3 1/2 palstaves, and one from Tower Hill, London now in Bristol Museum.,New drawing available.,CI","Joellen mcGann","https://farm4.staticflickr.com/3946/15601272042_2bd768afd5_b.jpg","https://www.flickr.com/photos/MicroPasts/15601272042","superuser",-1.7013,53.2438,"miscellaneous"
"15356","433","Axe Butt Fragment","A5","Dorchester Museum, o.52.1,Damon Collection,(seen Jan. 81)","England,Dorset,Weymouth (or Portland),Smallmouth,From a midden.","Weymouth, Dorset, UK","50.6144279","-2.4576210000000174","c. SY 668 762","None","None","None","23","24","","","","Golden bronze colour; surface much pitted.","4","","","","Broken; butt end only.","","SI; CI","Joellen mcGann","https://farm4.staticflickr.com/3945/15414837990_993351ba2e_b.jpg","https://www.flickr.com/photos/MicroPasts/15414837990","superuser",-2.4576,50.6144,"miscellaneous"
"15357","433","Celt","","Unknown","England,Dorset,Dorchester","Dorchester, Dorchester, Dorset, UK","50.7111639","-2.4411810000000287","c. SY 69 90","None","None","None","","","","","","","","","","1. Hoard","Typology: ""...a much honeycombed"" ...""fragment of an early celt..."" composed with a flat axe from Maddox Barrow, Bere, Dorset","","Archive: AFI,PRBAF: SI,Ext.: CI,Rec.: SN Jan. 81,Source: R.","Joellen mcGann","https://farm6.staticflickr.com/5614/15601271992_f10c14fc3f_b.jpg","https://www.flickr.com/photos/MicroPasts/15601271992","superuser",-2.4412,50.7112,"miscellaneous"
"15358","433","Mould for Flat Axe","","British Museum, W.G. 2267","England,Durham,Lanchester,Hurbuck","Hurbuck Farmhouse, Lanchester, Durham, County Durham DH7 0RT, UK","54.8296654","-1.7836740999999847","","None","None","None","","","","","","","","","","","","","","Joellen mcGann","https://farm4.staticflickr.com/3942/14980277603_eaa3733008_b.jpg","https://www.flickr.com/photos/MicroPasts/14980277603","superuser",-1.7837,54.8297,"miscellaneous"
"15359","433","Winged Axe (Fragment)","A5","London, British Museum, 92.6-13.4","England,Essex,Southend-on-Sea,Shoebury,Hoard I","Southend-on-Sea, Southend-on-Sea, UK","51.5459269","0.7077123000000256","","None","None","None","84","","","","","","","","","1-27","","Read, C.H. 1892,Proc. Soc. Ant. XIV","New card done","Joellen mcGann","https://farm4.staticflickr.com/3932/14980277523_919a6b1ba4_b.jpg","https://www.flickr.com/photos/MicroPasts/14980277523","superuser",0.7077,51.5459,"miscellaneous"
"15360","433","Winged Celt (Portion)","A5","Private Collection,F. Ransom Esq., Hitchin","Possibly from Felsted find, Essex, cf. corresp. from J. Clarke to JJA Worsae 6 May 1850, fig. 1 c (Documents file - Essex Hoards)","Felsted, Dunmow, Essex CM6, UK","51.85599999999999","0.43600000000003547","","None","None","None","73","29","27","170","thickn polished dark sea green patina.","Smooth. Slt. encrustment of light, green in one socket and earth in both.","39","Width: 27mm; middle 29mm; butt 22mm,Thickness: 39mm; 7.25mm; 5mm; 9mm; 25mm,Weight: 170.1 gms","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5613/15414441377_eb9a78c8e1_b.jpg","https://www.flickr.com/photos/MicroPasts/15414441377","superuser",0.436,51.856,"miscellaneous"
"15361","433","Cake Fragment","","London, British Museum, 54.5-24.1","England,Essex,Chesterford","Great Chesterford, Saffron Walden, Essex CB10, UK","52.062757","0.19682000000000244","TL 50 42","None","None","None","70","61","","","","","24","","","""With Roman remains""","","","CI","Joellen mcGann","https://farm4.staticflickr.com/3937/14980277403_75da2fe3c8_b.jpg","https://www.flickr.com/photos/MicroPasts/14980277403","superuser",0.1968,52.0628,"miscellaneous"
"15362","433","Eight Pieces of Copper Cake","","London, British Museum, 1866.7-14.15-22","England,Essex,High Roothing","High Roothing, Essex, UK","51.8280574","0.32433079999998427","","None","None","None","","","","","","","","","","3-22","","","See new index,CI","Joellen mcGann","https://farm4.staticflickr.com/3949/15601271502_3d63e41ced_b.jpg","https://www.flickr.com/photos/MicroPasts/15601271502","superuser",0.3243,51.8281,"miscellaneous"
"15363","433","Palstave Adze","A4","Croydon Natural History - Scientific Soc. Collection","England,Greater London,Sutton,Beddington","Beddington, Wallington, Wallington, Greater London SM6, UK","51.368509","-0.1342180000000326","","None","None","None","","","","","","","","","","","","","","Joellen mcGann","https://farm4.staticflickr.com/3938/15414837640_6b5cc6397f_b.jpg","https://www.flickr.com/photos/MicroPasts/15414837640","superuser",-0.1342,51.3685,"miscellaneous"
"15364","433","Cake Fragment","","London, British Museum, 64.2-8.3","England,Greater London,Kingston upon thames,Kingston Hill","Kingston upon Thames, Greater London, UK","51.41233","-0.30068900000003396","TQ 17 69","None","None","None","34","27","","","","Greeny-black","16","","","","","","CI","Joellen mcGann","https://farm4.staticflickr.com/3943/15414441107_04c75033ab_b.jpg","https://www.flickr.com/photos/MicroPasts/15414441107","superuser",-0.3007,51.4123,"miscellaneous"
