"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"26947",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm9.staticflickr.com/8604/15318844043_cc9ebfe388_b.jpg",,"merged",,,"ornamentsA15"
"26948","473","TORC + 2 BRACELETS","C","Salisbury Museum","Wilts., Barrow on Lake Down (WILSFORD parish), Presented by Rev. E Duke, G289 (Torc), G282, 283 (bracelets)","Wilsford, Grantham, Lincolnshire NG32, UK","52.97628599999999","-0.5085390000000416","","None","None","None","","","","","","","","- Bottom left initials: F.M.N, , - unsure about word before ""section"" in Associations.","All in bronze","2 1oz section bracelets","Bracelets have a square section, Torc twisted spiral except at back","PPS 1959","","Dina Fathalla","https://farm9.staticflickr.com/8570/15752339869_f03cbcf1c3_b.jpg","https://www.flickr.com/photos/MicroPasts/15752339869","superuser",-0.5085,52.9763,"ornamentsA15"
"26949","473","BRACELET.","P.","Salisbury Museum","WILTS, Barrow on Lake Down., (Wilsford Parish), Present by the Rev. E. Duke., G.282, 283.","Wilsford, Grantham, Lincolnshire NG32, UK","52.97628599999999","-0.5085390000000416","","None","None","None","","","","","","","","","Bronze.","Spiral-twisted torc + another 1oz-sectn bracelet.","Bracelets have a square section.","P.P.S. 1959., W.A.M.XXXVII. 155.","cf. card headed torc + 2 bracelets.","Dina Fathalla","https://farm8.staticflickr.com/7514/15752339939_0fcb178164_b.jpg","https://www.flickr.com/photos/MicroPasts/15752339939","superuser",-0.5085,52.9763,"ornamentsA15"
"26950","473","BRACELETS","N.","Salisbury Museum.","WILTS., Barrow on Lake Down., (Wilsford Parish.), Presented by the Rev. E. Duke., G.282, 283","Wiltshire, UK","51.2462714","-1.9922126999999819","","None","None","None","","","","","","","","","Bronze.","Spiral-twisted torc and another 1oz-sectn bracelet.","Bracelets have a square section.","P.P.S. 1959., W.A.M.XXXVII. 155.","cf. Card headed Torc + 2 bracelets.","Dina Fathalla","https://farm8.staticflickr.com/7582/15938379635_5c2f06486e_b.jpg","https://www.flickr.com/photos/MicroPasts/15938379635","superuser",-1.9922,51.2463,"ornamentsA15"
"26951","658","BRACELET","J","Salisbury Museum,on loan from Miss Belfield.","Wilts,Found in lynchet at,Monks Hole, Ebbesborne Wake,,in 1944.","Ebbesbourne Wake, Salisbury, Wiltshire SP5, UK","51.017573","-2.016818599999965","","None","None","1944","","","","","B[...] smooth, with,dark, thick patination.","","","","","Hoard of 17 bronze bangles.,Howe.","","WAM LIII 104-12,& pl.","","Susan Magyarody","https://farm8.staticflickr.com/7474/15912583286_a62188190e_b.jpg","https://www.flickr.com/photos/MicroPasts/15912583286","only good record",-2.0168,51.0176,"ornamentsA15"
"26952","658","Bracelet (L.B.A.)","N","SALISBURY Museum,on loan from Miss Belfield.","WILTSHIRE,Ebbesborne Wake,,Monks Hole,Found in L.B.A. lynchet in 1944.","Ebbesbourne Wake, Salisbury, Wiltshire SP5, UK","51.017573","-2.016818599999965","","None","None","1944","","","","","slightly tinned,,smooth & well patinated.","","","","","Hoard of 17 bronze,bangles.","","W.A.M. LII, 104-12,& pl.","","Susan Magyarody","https://farm9.staticflickr.com/8683/15318752123_6dbd436b1f_b.jpg","https://www.flickr.com/photos/MicroPasts/15318752123","only good record",-2.0168,51.0176,"ornamentsA15"
"26953","658","BRACELET","P","Salisbury Museum,On loan from Miss Belfield.","WILTS,Found in L.B.A. lynchet,at Monks Hole, Ebbesborne,Wake in 1944.","Ebbesbourne Wake, Salisbury, Wiltshire SP5, UK","51.017573","-2.016818599999965","","None","None","1944","","","","","slightly,tinned, smooth & well,patinated.","","","","","Hoard of 17 bronze bangles.","","W.A.M. LIII, 104-12, & pl.","","Susan Magyarody","https://farm8.staticflickr.com/7497/15752635347_35a08ff795_b.jpg","https://www.flickr.com/photos/MicroPasts/15752635347","only good record",-2.0168,51.0176,"ornamentsA15"
"26954","658","3 BRACELETS","P","SALISBURY Museum,on loan from Miss Belfield.","WILTSHIRE,Ebbesbourne Wake,,Monks Hole,Found in L.B.A. lynchet,in 1944.","Ebbesbourne Wake, Salisbury, Wiltshire SP5, UK","51.017573","-2.016818599999965","","None","None","1944","","","","","Smooth with dark, thick patination.","","","","","Hoard of 17 bronze bracelets.","","W.A.M. LIII, 104-12,& pl.","","Susan Magyarody","https://farm9.staticflickr.com/8604/15750941948_61a9b1f86d_b.jpg","https://www.flickr.com/photos/MicroPasts/15750941948","only good record",-2.0168,51.0176,"ornamentsA15"
"26955","658","BRACELET","Y","Salisbury Museum,,on loan from Miss Belfield.","WILTS,Found in M.B.A. lynchet at,Monks Hole, Ebbesbourne Wake,in 1944.","Ebbesbourne Wake, Salisbury, Wiltshire SP5, UK","51.017573","-2.016818599999965","","None","None","1944","","","","","","Smooth, with dark, thick patination.","","","","Hoard of 17 bronze bangles.","","W.A.M. LIII, 104-12,& pl.","cf. also J bracelets,from same site.","Susan Magyarody","https://farm9.staticflickr.com/8588/15318752923_8a2a27723b_b.jpg","https://www.flickr.com/photos/MicroPasts/15318752923","only good record",-2.0168,51.0176,"ornamentsA15"
"26956","658","BRACELET (L.B.A.)","O","SALISBURY Museum,on loan from Miss Belfield.","WILTSHIRE,Ebbesbourne Wake,,Honks Hole,Found in L.B.A. lynchet,in 1944.","","51.017573","-2.016818599999965","","None","None","1944","","","","","Well patinated.","","","","","Hoard of 17 bronze,bangles.","Unevenly tinned,,patchy.","W.A.M. LIII, 104-12,& pl.","","Susan Magyarody","https://farm8.staticflickr.com/7575/15316129294_19d3ebbdb4_b.jpg","https://www.flickr.com/photos/MicroPasts/15316129294","only good record",-2.0168,51.0176,"ornamentsA15"
