"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"22959","433","Ring","","London, British Museum,93.6-18.12","England,Hampshire,Selbourne,Blackmoor,Woolmer Forest,Hoard I,1840","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1840","","20","","","","","","","","7-13","Diameter: 31","","CI","Joellen mcGann","https://farm6.staticflickr.com/5564/14952000739_dc70712205_b.jpg","https://www.flickr.com/photos/MicroPasts/14952000739","superuser",-0.8659,51.0858,"selborne"
"22960","433","Ring","","London, British Museum, 93.6-18.13","England,Hampshire,Selbourne,Blackmoor,Woolmer Forest,Hoard I,1840","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1840","","10","","","","","","","","7-13","Diam.: 30","","CI","Joellen mcGann","https://farm4.staticflickr.com/3896/15138322212_1db5acc1b6_b.jpg","https://www.flickr.com/photos/MicroPasts/15138322212","superuser",-0.8659,51.0858,"selborne"
"22961","433","Spearhead","","London, British Museum, WG 2100","England,Hampshire,Selbourne,Blackmoor,Woolmer Forest,1867,Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","317","30","","","","Small spots of green corrosion (Mar. 74)","","","","91.5-14.4-59; WG 2100-2112","","VCH Hants, I, 341, fig. 31.","CI","Joellen mcGann","https://farm6.staticflickr.com/5578/14952153168_fbd5d809cf_b.jpg","https://www.flickr.com/photos/MicroPasts/14952153168","superuser",-0.8659,51.0858,"selborne"
"22962","433","Spearhead VA","P","British Muesum, W.G. 2101,Given by J. Pierpont Morgan, Esq.,(Greenwell Collection),1909","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,Found about 1867 between Hogmoor and Blackmoor House.","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1867","233","45","","255","Metallic bronze","Non-corroded,(March 1974 small spot of green corrosion)","18","","","2100-2112; 4 Spearheads, 9 Lanceheads","Ribbed blades, rivet holes.","Victoria Hist.: Hants., 1, 241, fig. 31.","AOK,ND74,CI","Joellen mcGann","https://farm6.staticflickr.com/5553/15138689215_2044f17dd4_b.jpg","https://www.flickr.com/photos/MicroPasts/15138689215","superuser",-0.8659,51.0858,"selborne"
"22963","433","Spearhead","","London, British Museum, WG 2101","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,1867,Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","282","31","","","","Small spots of green corrosion (Mar. 74)","","","","91.5-14.4-58; W.G. 2100-2112","","VCH Hants, I, 341, fig. 31","ND74,CI","Joellen mcGann","https://farm4.staticflickr.com/3908/14952039760_f7abbea728_b.jpg","https://www.flickr.com/photos/MicroPasts/14952039760","superuser",-0.8659,51.0858,"selborne"
"22964","433","Spearhead V A","T","British Museum,W.G. 2102,Given by J. Pierpont-Morgan Esq.,(Greenwell Collection),1909","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,Found about 1867 between Hogmoor and Blackmoor House","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1867","268","40","","215","Metallic bronze","Non-corroded","20","","","2100-2112: 4 Spearheads; 9 Lanceheads","Bevelled edges, rivet holes.","Victoria Hist. Hants, 1, 341, fig. 31.","Inacc,ND74,CI","Joellen mcGann","https://farm6.staticflickr.com/5592/15138321462_e26b21c651_b.jpg","https://www.flickr.com/photos/MicroPasts/15138321462","only good record",-0.8659,51.0858,"selborne"
"22965","433","Spearhead","","London, British Museum, W. G. 2102","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,1867,Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","269","26","","","","","","","","91.5-14.4-58; W.G. 2100-2112","","VCH Hants, 1, 341, fig. 31","ND74,CI","Joellen mcGann","https://farm4.staticflickr.com/3886/15138320952_d16fb1d0e3_b.jpg","https://www.flickr.com/photos/MicroPasts/15138320952","superuser",-0.8659,51.0858,"selborne"
"22966","433","Spearhead VA","T","British Museum,W.G. 2103,Given by J. Pierpont Morgan, Esq.,(Greenwell Collection),1909","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,Found about 1867 between Hogmoor and Blackmoor House.","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1867","208","37","","160","Brown","Slightly corroded: March 1974 small spots of green corrosion.","15","","","2100-2112: 4 spearheads; 9 lanceheads","With angular socket along the blade.","Victoria Hist. Hants., 1, 341, fig. 31.","AOK,ND74,CI","Joellen mcGann","https://farm4.staticflickr.com/3897/14951999579_d694bb5c5d_b.jpg","https://www.flickr.com/photos/MicroPasts/14951999579","only good record",-0.8659,51.0858,"selborne"
"22967","433","Spearhead","","London, British Museum, WG 2103","England,Hampshire,Selborne,Woolmer Forest,1867,Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","206","26","","","","Small spots of green corrosion (Mar. 74)","","","","91.5-14.4-58; WG 2100-2112","","VCH Hants, I, 341, fig. 31","ND74,CI","Joellen mcGann","https://farm6.staticflickr.com/5566/14952151298_eeef671b9b_b.jpg","https://www.flickr.com/photos/MicroPasts/14952151298","only good record",-0.8659,51.0858,"selborne"
"22968","433","Spearhead V A","T","British Museum, W.G. 2104,Given by J. Pierpont Morgan, Esq.,(Greenwell Collection),1909","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,Found about 1867 between Hogmoor and Blackmoor House","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1867","88","32","","50","Metallic bronze","Non-corroded","16","","","2100-2112; 4 spearheads, 9 lanceheads","With large socket and rivet holes","Victoria Hist. Hants., 1, 341, fig. 31","Inacc,ND74,CI","Joellen mcGann","https://farm4.staticflickr.com/3916/15115689466_560ae08c05_b.jpg","https://www.flickr.com/photos/MicroPasts/15115689466","superuser",-0.8659,51.0858,"selborne"
